"ARBROATH (SPRINGFIELD PARK)",,,,,,,,,,,,
Grid ref,NO648411,Long,-2.574303,Lat,56.560540,,,,,,,
Station no,5598,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.67,0.92,0.50,1.03,1.47,2.24,1.89,1.89,0.94,3.38,,
February,1.69,0.45,0.61,1.38,1.59,1.11,2.70,2.02,0.10,1.81,,
March,1.98,2.41,0.17,2.02,1.24,0.67,2.05,4.43,0.81,1.57,,
April,2.46,1.17,2.34,1.03,0.71,1.26,0.83,1.77,2.18,1.74,,
May,1.11,2.24,1.94,2.41,1.32,0.55,1.43,2.39,0.89,1.04,,
June,1.65,2.14,1.52,1.87,1.13,3.12,1.01,1.28,2.39,1.56,,
July,3.06,2.01,3.57,1.97,0.96,3.50,3.39,5.42,2.05,1.46,,
August,3.50,2.29,1.91,2.26,0.19,3.79,3.73,3.58,0.58,3.01,,
September,1.13,0.96,2.44,2.12,1.02,4.63,1.31,2.07,0.45,2.22,,
October,0.57,1.55,1.14,4.78,1.60,1.37,1.17,1.42,1.95,5.03,,
November,5.60,1.64,2.12,3.01,1.75,0.68,1.13,0.76,3.50,3.34,,
December,1.37,2.02,2.99,2.14,4.41,2.34,3.11,3.29,4.68,1.46,,
Total,27.79,19.80,21.25,26.02,17.39,25.26,23.75,30.32,20.52,27.62,,
Calc annual,27.79,19.80,21.25,26.02,17.39,25.26,23.75,30.32,20.52,27.62,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
