ARBROATH (W CEMETERY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 62481 41630,Long,-2.612116,Lat,56.565124,Elevation,93,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,3.41,1.06,2.53,1.38,3.86,1.4,4,1.26,1.75,2.94,1.44,1.55,1.27,0.89,4.51,3.32,2.98,3.98,1.65,2.37,4.36,3.2,1.04,2.81,1.5,3.12,4.17,,
February,,,1.83,4.09,0.81,3.06,4.41,1.18,0.93,1.45,0.91,1.27,0.16,1.82,0.07,1.78,2.83,3.16,0.59,2.13,1.34,4.24,1.31,0.74,0.89,1.7,1.07,1.95,2.58,,
March,,,2.11,1.35,0.76,1.26,0.58,2.23,3.04,0.33,1.48,1.18,2.69,1.27,2.09,1.48,2.49,2.56,0.37,2.26,2.66,1.93,2.04,0.7,0.4,0.67,1.77,3.29,0.77,,
April,,,1.49,1.85,1.52,3.04,1.87,0.81,0.65,1.18,2.33,1.72,1.99,1.07,5.08,3.24,0.52,2.02,0.14,0.55,1.54,1.96,1.21,1.44,2.59,1.09,0.26,2.35,1.73,,
May,,,0.63,1.38,3.21,3.38,1.89,2.28,1.34,2.67,1.15,3.28,2.5,0.99,1.92,0.86,1.32,2.12,3.62,1.13,1.39,2.04,2.72,3.63,1.68,4.7,1.77,3.84,3.16,,
June,,,1.47,0.62,1.41,0.86,2.56,2.47,4.6,1.24,1.65,4.22,1.13,1.12,0.96,3.69,0.46,2.24,3.06,1.42,0.27,1.29,0.77,1.16,2.58,2.32,2.89,1.83,3.15,,
July,,,3.45,1.28,4.15,1.5,2.52,1.67,1.36,3.62,2.55,4.49,3.93,1.87,2.97,0.67,3.39,3.35,3.6,3.61,6,2.47,2.28,2.47,2.6,2.97,3.63,1.09,2.31,,
August,,,1.63,5.54,2.12,1.61,1.88,3.82,4.28,3.53,6.49,1.78,0.5,0.72,2.63,1.17,1,3.92,0.92,1.17,1.12,3.35,2.59,3.77,1.58,3.67,2.92,0.19,6.82,,
September,,,2.32,2.79,3.63,4.49,4.2,6.75,2.37,0.65,5.65,1.11,2.5,1.7,2.72,3.64,3.52,1.23,2.98,1.69,2.22,0.42,2.07,2.11,2.59,3.57,2.71,1.67,1.73,,
October,,,1.77,2.07,4.23,2.04,4.51,4.66,3.11,2.32,2.66,0.98,6.58,2.65,2.67,3.76,0.78,3.74,2.91,3.37,4.39,3.87,2.3,2.72,3.24,4.39,0.67,1.2,3.22,,
November,,,1.49,2.3,1.57,1.42,3.58,1.46,2.72,3.58,3.63,5.16,1.17,1.96,1.15,3.79,1.68,0.71,4.15,3.96,5.3,3.42,0.46,0.8,2.81,1.09,5.94,1.66,1.28,,
December,,,1.73,2.64,2.3,1.76,0.23,2.18,2.23,3.91,2.16,1.2,2.2,1.3,4.18,1.8,1.46,4.12,3.02,1.08,1.26,0.77,1.95,0.98,2.61,3.65,2.9,1.59,2.74,,
Total,,,23.33,26.97,28.24,25.8,32.09,30.91,30.63,25.74,32.41,29.33,26.79,18.02,27.71,26.77,23.96,32.49,28.34,26.35,29.14,28.13,24.06,23.72,24.61,32.63,28.03,23.78,33.66,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Jan Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,857007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
