LYONSHALL (THE CROFT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO335558,Long,-2.974339,Lat,52.196406,Elevation,474,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2244/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.72,4.69,3.73,3.55,5.61,,,,3.47,2.33,2.1,4.4,,,,0.61,3.3,3.33,0.76,2.39,3.39,3.95,2.07,2.86,4.5,5.18
February,,,,,3.52,2.55,5.91,1.56,1.88,,,,3.33,0.68,2.58,3.6,,,1.47,6.5,3.33,0.81,1.7,2.74,1.69,0.28,3.1,5.17,0.3,3.47
March,,,,,0.57,2.57,3.1,0.27,1.51,,,,0.4,0.73,0.75,0.44,,,1.42,1.42,4.35,2.03,1.64,3.05,2.86,1.02,2.28,1.51,1.92,2.22
April,,,,,4.27,2.24,1.95,0.11,1.74,,,,0.98,1.44,,2.23,,,2.42,2.23,2.23,2.11,3.34,0.44,1.09,1.51,0.6,0.5,2.71,2.39
May,,,,,0.54,1.15,1.72,2.37,0.84,,,,,0.75,,,,,1.75,1.58,2.78,2.75,2.07,2.1,4.25,0.39,2.42,3,3.8,2.26
June,,,,,2.84,5.91,0.61,1.89,1.81,,,,,1.75,,,,,0.66,1.23,0.94,1.85,1.32,4.81,5.27,2.57,1.46,2.56,2.94,1.73
July,,,,,0.38,4.94,3.48,2.3,5.88,,,,,2.2,,2.06,,,0.79,3.75,2.06,0.95,3.49,1.47,0.88,4.19,2.94,5.5,2.32,3.24
August,,,,,1.66,,0.68,2.72,1.8,,,,2.5,2.83,,6.58,,,1.43,4.64,3.68,4.64,3.68,4.21,0.55,3.67,5.81,2.87,0.68,2.9
September,,,,,3.7,3.4,1.62,1.63,0.7,,,,,2.75,,4,,,4.11,3.36,2.29,2.55,3.83,2.98,1.08,3.32,5.81,6.06,0.06,4.22
October,,,,,3.7,1.71,3.13,4.52,3.42,,,,,3.75,,,,,6.2,1.36,0.68,4.33,2.55,4.18,1.81,1.79,1.64,3,3.25,7.47
November,,,,,5.59,3.48,2.6,4.09,5.96,,,,,4.75,,,,,4.27,4.72,7.82,3.36,2.09,7.65,2.89,1.1,2.53,2.59,3.78,6.56
December,,,,,3.25,,2.26,3.25,1.69,,,,,2.05,4.63,,,,2.83,1.77,2.58,3.11,1.51,3.14,3.74,4.07,2.64,3.63,6.38,4.86
Total,,,,,30.74,,30.79,28.26,32.84,,,,,26.01,,,,,,33.17,36.04,31.82,27.98,39.16,29.5,27.86,33.3,39.25,32.64,46.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943 May, June, July, Sept, Oct, Nov and total estimated from nearby stations therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945 Apr, May, June, July, Aug, Sept, Oct, Nov and total estimated or apportioned therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946 May, June,Oct,Nov, Dec and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Jan estimated therefore removed along with total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936 Aug, Dec, total estimated hence removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
