ACCRINGTON WARMDEN RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD773276,Long,-2.345,Lat,53.7445,Elevation,650,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,1.9,3.98,1.43,5.95,4.89,4.87,4.96,1.61,7.03,3.74,1.38,0.41,1.07,3.76,6.97,5.25,2.77,7.86,2.5,2.14,
February,,,,,,,,,,5.91,2.41,4.03,5.05,1.45,2.3,0.78,4.9,4.33,1.59,3.68,3.71,4.85,3.46,3.66,3.81,4.67,0.88,1.53,2.16,
March,,,,,,,,,,1.42,2.69,1.82,3.99,3.38,4.89,0.92,4.04,3.52,2.32,1.91,2.9,5.82,4.31,2.24,3.92,2.57,4.36,2.35,4.33,
April,,,,,,,,,,2.25,1.2,3.25,3.41,0.71,1.92,1.45,2.75,2.18,2.23,1.47,1.75,1.73,5.42,2.15,1.12,2.74,2.99,3.33,2.07,
May,,,,,,,,,,2.47,2.08,1.97,2.84,2.58,1.56,2.66,0.53,3.18,4.33,2,2.74,2.95,1.93,0.95,2.08,2.16,3.05,2.01,1.13,
June,,,,,,,,,,1.42,2.53,4.33,6.14,2.13,1.24,4.36,4.39,2.09,2.77,5.67,3.41,2.69,6.56,3.25,0.82,3.24,2.36,0.74,2.1,
July,,,,,,,,,,1.07,1.74,5.88,3.83,5.01,3.01,5.66,3.52,5.04,0.78,6.15,5.2,5.36,7.41,3.99,4.57,1.71,3.55,1.94,6.47,
August,,,,,,,,,,3.14,2.02,1.7,4.52,5.02,6.14,2.52,4.12,6.52,6.67,6.64,1.96,5.42,4.51,2.78,1.75,2.23,2.05,2.01,4.39,
September,,,,,,,,,,8,3.17,4.72,6.84,3.1,4.57,4.7,3.83,4.55,5.38,2.8,4.5,1.63,1.99,6.26,2.93,4.74,3.89,5.01,1.15,
October,,,,,,,,,,3.25,11.74,5.43,5.57,7.4,5.89,4.51,2.23,5.93,5.58,2.91,2.62,2.15,4.24,5.1,2.98,5.6,5.41,2.51,2.55,
November,,,,,,,,,,4.83,3.59,1.47,4.93,3.97,4.32,3.92,3.42,6.89,3.11,1.31,5.69,5.27,7.31,4.57,2,3.75,3.74,2.32,6.79,
December,,,,,,,,,,5.52,3.22,3.07,3.38,1.89,3.74,2.03,5.19,4.86,2.99,3.05,6.24,5.8,5.46,2.77,6.23,2.52,8.27,2.51,3.08,
Total,,,,,,,,,,,40.37,39.1,56.45,41.53,44.45,38.47,40.53,56.12,41.49,38.97,41.13,44.74,56.36,44.69,37.46,38.7,48.41,28.76,38.36,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Built to provide water for the Broad Oak Print Works,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
