CLIBURN COUNCIL SCHOOL.,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY588250,Long,-2.6395282,Lat,54.618457,Elevation,420,ft,,,,,,,,,,,,,
Station no,3690,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,0.93,7.54,3.13,6.03,4.87,3.2,,,,,,
February,,,,,,,,,,0.53,0.19,2.4,0.18,2.56,0.1,,,,,,
March,,,,,,,,,,0.16,3.41,0.85,2.84,1.63,2.06,,,,,,
April,,,,,,,,,,1.65,2.08,1.78,2.91,0.69,2.77,,,,,,
May,,,,,,,,,,1.78,1.75,1.99,2.66,3.2,2.1,,,,,,
June,,,,,,,,,,1.34,1.43,3.47,2.73,1.35,0.82,,,,,,
July,,,,,,,,,,2.04,4.24,3.34,6.23,2.35,2.99,,,,,,
August,,,,,,,,,,4.62,6.74,2.82,0.98,1.84,3.51,,,,,,
September,,,,,,,,,,2.33,2.34,1.69,3.68,1.19,3.19,,,,,,
October,,,,,,,,,,5.79,4.92,1.9,6.11,3.11,6.24,,,,,,
November,,,,,,,,,,8.44,3.81,7.04,1.83,1.9,0.31,,,,,,
December,,,,,,,,,,9.87,4.43,2.41,3.83,0.68,,,,,,,
Total,,,,,,,,,,39.48,42.88,32.82,40.01,25.37,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1934 Dec and tottal estimated therefore removed,,,,,,,,,,,,,,,,,,,,,
