"BERE REGIS BLOXWORTH RECTORY",,,,,,,,,,,,
Grid ref,SY883945,Long,-2.167210,Lat,50.749981,,,,,,,
Station no,RR1566,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.46,2.16,1.33,2.94,5.76,1.11,8.31,1.16,1.12,1.15,,
February,6.01,1.58,2.06,2.33,4.69,0.76,3.88,1.57,1.24,1.14,,
March,1.21,2.54,2.51,4.28,1.74,5.41,1.12,0.60,3.55,4.87,,
April,1.30,2.99,1.95,3.56,1.24,1.98,1.31,3.93,2.52,1.29,,
May,1.64,1.13,2.54,3.50,3.06,0.34,2.63,1.94,2.91,1.65,,
June,2.51,1.58,3.52,2.47,1.04,2.24,1.35,2.14,0.30,4.27,,
July,1.50,2.34,2.12,3.02,3.40,0.47,1.00,1.04,1.81,2.75,,
August,2.97,2.23,4.17,5.08,4.59,3.00,0.93,1.74,5.24,3.13,,
September,1.50,5.24,1.57,2.52,2.47,2.38,0.88,0.68,2.50,3.09,,
October,3.36,2.63,2.21,8.50,2.26,2.67,6.08,10.78,3.63,7.35,,
November,4.71,0.75,4.40,1.83,1.84,5.27,4.80,3.35,1.16,0.72,,
December,5.96,5.00,1.93,3.62,3.79,0.89,2.00,3.96,3.43,5.47,,
Total,37.13,30.17,30.31,43.65,35.88,26.52,34.29,32.89,29.41,36.88,,
Calc annual,37.13,30.17,30.31,43.65,35.88,26.52,34.29,32.89,29.41,36.88,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
