"BRISTOL (ST. ANDREW'S PARK) (BELMONT ROAD)",,,,,,,,,,,,
Grid ref,ST590746,Long,-2.591644,Lat,51.468872,,,,,,,
Station no,2189,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.16,3.19,0.92,2.43,3.45,4.30,,,,,,
February,4.35,0.62,1.69,3.78,1.83,0.28,,,,,,
March,3.66,2.64,1.05,3.89,0.74,0.56,,,,,,
April,3.74,1.84,3.45,0.77,0.97,1.53,,,,,,
May,3.10,4.09,1.99,2.31,4.18,0.48,,,,,,
June,0.62,2.84,1.75,5.02,3.06,2.29,,,,,,
July,1.27,0.97,4.49,2.95,0.00,1.91,,,,,,
August,5.73,5.09,5.32,3.78,0.97,5.59,,,,,,
September,2.42,3.06,3.95,5.07,1.48,3.57,,,,,,
October,0.77,5.15,2.69,3.67,1.44,1.63,,,,,,
November,7.46,4.09,2.48,6.76,3.83,0.89,,,,,,
December,2.84,2.30,0.95,2.22,3.85,4.82,,,,,,
Total,40.12,35.88,30.73,42.65,25.80,27.85,,,,,,
Calc annual,40.12,35.88,30.73,42.65,25.80,27.85,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
