FALKIRK BURGH BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS887800,Long,-3.786208,Lat,55.99999,Elevation,107,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,6.6,2.55,1.31,4.56,1.84,4.14,4.41,4.16,,2.37,4.04,3.47,2.03,,,,,4.08,5.45,3.79,,,,,,,,
February,,,,6.06,3.17,1.74,2.21,2.66,1.93,1.61,2.39,,2.55,2.92,3.48,4.16,,,,,8.17,0.42,2.02,,,,,,,,
March,,,,6.53,1.91,3.34,3.84,4.57,4.01,2.97,1.99,,4.14,4.3,3.69,2.18,2.99,,,,3.52,4.75,2.47,,,,,,,,
April,,,,0.95,3.83,2.24,1.18,1.72,1.31,2.99,3.55,,0.83,2.98,1.92,2.27,1.75,,,1.84,1.33,1,1.95,,,,,,,,
May,,,,1.66,2.57,1.37,4.34,4.11,3.17,3.08,1.31,,1.51,2.11,2.37,1.65,4.89,,,0.66,3.37,1.2,2.2,,,,,,,,
June,,,,1.68,1.54,0.59,1.55,4.36,1.68,1.45,1.03,,4.44,2.5,0.64,1.98,2.64,,,2,0.99,0.12,1.41,,,,,,,,
July,,,,3.92,2.41,1.75,1.62,2.27,3.4,2.34,2.51,,2.17,1.27,3.11,3.54,3.62,,,1.25,2.55,2.71,3.61,,,,,,,,
August,,,,4.06,3.82,2.82,5.6,4.46,2.87,3.03,5.2,,2.88,1.14,3.09,4.07,2.68,,,2.48,5.51,5.74,1.73,,,,,,,,
September,,,,2.87,1.8,2.02,1.43,1.31,5.29,1.74,0.74,,2.24,2.79,1.15,2.02,0.73,,,2.22,2.01,2.12,1.97,,,,,,,,
October,,,,6.66,1.34,2.22,5.03,6.52,1.28,3.92,2.83,,3.23,1.74,1.49,3.08,5.11,,,1.04,1.07,4.5,1.67,,,,,,,,
November,,,,1.87,1.43,4.43,2.95,1.62,2.68,1.81,2.16,,3.38,5.37,5.31,1.88,,,,6.01,3.31,1.65,1.96,,,,,,,,
December,,,,1.91,3.58,3.58,2.01,5.25,2.23,4.14,1.98,,7.79,3.19,6.79,,3.6,,,4.18,3.33,5.66,3.86,,,,,,,,
Total,,,,44.77,29.95,27.41,36.32,40.69,33.99,33.49,29.85,,37.53,34.35,36.51,,,,,,39.24,35.32,28.64,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guage moved in 1922 approx 1/2 mile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unable to decipher month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
