"BELFAST LINEN HALL LIBRARY",,,,,,,,,,,,
Grid ref,IJ3372674112,Long,-5.931391,Lat,54.597688,,,,,,,
Station no,RR132,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.30,2.78,1.79,4.62,,,,,,,,
February,3.37,0.78,2.04,2.30,,,,,,,,
March,0.75,3.04,1.99,4.33,,,,,,,,
April,2.95,2.48,2.68,1.52,,,,,,,,
May,2.44,1.40,3.45,2.40,,,,,,,,
June,3.82,3.16,3.00,1.63,,,,,,,,
July,3.64,0.91,3.86,4.41,,,,,,,,
August,5.99,3.45,2.98,4.80,,,,,,,,
September,1.76,3.14,5.01,3.53,,,,,,,,
October,4.47,4.69,1.93,6.31,,,,,,,,
November,4.54,4.52,3.63,2.33,,,,,,,,
December,3.01,3.51,3.42,2.70,,,,,,,,
Total,40.04,33.86,35.78,40.88,,,,,,,,
Calc annual,40.04,33.86,35.78,40.88,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
