CUTCOMBE-WHEDDON-CROSS,,,,,,,,,,,,,,,,,,,,
Grid ref,SS925389,Long,-3.53798,Lat,51.139244,Elevation,945,ft,,,,,,,,,,,,
Station no,2115,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,3.26,7.46,2.29,,,,,,,,
February,,,,,,,,,,0.77,7.49,4.16,,,,,,,,
March,,,,,,,,,,5.72,1.13,3.53,,,,,,,,
April,,,,,,,,,,3.16,4.07,3.5,,,,,,,,
May,,,,,,,,,,2.48,4.02,1.89,,,,,,,,
June,,,,,,,,,,4.14,4.02,4.33,,,,,,,,
July,,,,,,,,,3.4,2.81,4.72,0.42,,,,,,,,
August,,,,,,,,,5.7,2.58,6.09,2.2,,,,,,,,
September,,,,,,,,,5.43,4.03,0.58,2.72,,,,,,,,
October,,,,,,,,,2.87,10.54,9.05,4.48,,,,,,,,
November,,,,,,,,,2.58,3.42,8.19,7.15,,,,,,,,
December,,,,,,,,,4.33,7.34,9.3,13.43,,,,,,,,
Total,,,,,,,,,,50.25,66.12,50.1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Unknown exactly where gauge was Using NGR on sheet Village very flat so elevation matches anywhere,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1912 Not printed Bad,,,,,,,,,,,,,,,,,,,,
1913 Record bad New gauge May,,,,,,,,,,,,,,,,,,,,
1912 and 1913 deleted,,,,,,,,,,,,,,,,,,,,
