CUTCOMBE-WHEDDON-CROSS-(NEW-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS925389,Long,-3.53798,Lat,51.139244,Elevation,945,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.04,6.13,3.79,1.54,6.58,8.38,9.51,5.31,5.66,3.55,5.47,6.4,9.41,7.63,8.82,2.09,9.19,5.06,7.31,0.45,,,,,,,
February,,,,,5.23,8.09,9.6,1.22,3.77,5.26,1.48,0.18,6.86,11.58,0.86,6.99,4.16,5.16,6.46,1.65,1.45,3.74,0.1,0.18,,,,,,,
March,,,,,9.05,1.08,3.4,3.53,2.32,7.65,5.29,3.88,5.93,1.72,2.5,1.23,1.19,5.74,5.68,0.44,3.54,1.54,3.66,0.58,,,,,,,
April,,,,,2.86,1.58,2.08,2.88,3.85,3.4,7.12,1.32,6.72,3.48,4.66,3.16,3.34,2.09,2.4,1.42,4.77,4.01,,,,,,,,,
May,,,,3.75,2.36,3.03,3.34,2.29,1.27,1.43,2.78,2.69,1.47,3.71,4.83,5.07,2.48,1.27,1.05,3.75,2.02,5.13,3.6,,,,,,,,
June,,,,1.69,3.17,1.37,3.47,9.05,1.71,1.53,2.94,0.56,1.06,0.78,3.83,0.3,3.85,3.42,3.36,3.25,0.88,3.99,,,,,,,,,
July,,,,0.83,6.71,5.08,1.14,3.09,6.57,2.24,6.04,1.47,5,2.24,5.29,3.83,2.09,4.71,2.2,2.34,3.9,4.8,,,,,,,,,
August,,,,1.56,3.28,2.2,7.34,9.94,3.09,3.7,1.97,2.85,4.51,3.99,7.14,5.92,2.93,6.19,2.95,3.97,4.83,5.86,,,,,,,,,
September,,,,3.73,3.34,1.93,3.07,2.04,10.51,2.13,1.95,2.9,3.52,4.43,6.96,4.68,3.11,8.2,1.78,1.15,6.83,2.25,,,,,,,,,
October,,,,4.94,5.03,6.1,9.24,9.91,3.58,3.6,4.8,2.89,3.19,8.18,6.44,5.56,6.08,4.69,7.21,8.88,6.16,1.39,,,,,,,,,
November,,,,6.29,6.55,3.5,5.86,3.27,4.39,5.05,4.42,3.28,2.86,5.12,4.96,3.11,11.87,6.46,7.76,14.1,7.33,7.89,,,,,,,,,
December,,,,3.64,10.7,11.26,4.47,1.53,8.58,10.95,6.73,4.49,8.42,5.71,6.72,8.36,0.46,3.76,6.71,13.69,8.05,3.76,2.68,,,,,,,,
Total,,,,,60.32,51.35,56.8,50.29,56.22,55.32,55.03,31.82,55.2,54.49,59.66,54.61,50.97,59.32,56.38,56.73,58.95,49.42,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New gauge Assumed to be at same location as old gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown exactly where gauge was Using NGR on sheet Village very flat so elevation matches anywhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Apr June-Nov Estimations and modifications made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Nov Station black-listed owing to excessive no of omissions in 1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
