ESSENDON-PLACE-GDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL2730807788,Long,-0.15702553,Lat,51.754324,Elevation,366,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,3.44,1.15,2.77,2.33,3.17,1.61,3.38,1.69,2.91,1.77,1.86,2,1.89,1.21,4.44,4.5,3.06,5.72,2.71,2.48,2.47,5.01,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.26,3.53,0.84,3.13,2.81,3.83,1.82,0.6,0.63,1.4,0.13,1.75,0.26,3.03,2.05,4.27,0.49,0.88,1.85,2.35,0.91,1.2,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.77,1.88,0.99,0.9,0.16,2.4,2.17,0.04,1.68,0.13,1.94,2.75,2.33,0.51,1.15,2.95,0.4,1.67,2.94,2.98,1.58,0.53,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,2.87,1.71,3.35,1.61,2.93,1.8,0.71,1.52,2.91,3.66,2.2,0.95,1.09,3.3,1.25,3.08,0.16,2.96,1.51,1.61,1.17,0.83,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.23,1.55,4.08,1.97,1.59,1.14,1.38,1.99,2.88,2.89,3.6,2.06,0.55,1.54,0.78,2.89,1.98,1.68,2.06,1.78,3.11,2.24,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,1.26,0.73,2.64,0.18,3.59,3.16,2.3,0.77,0.52,1.34,1.02,1.57,0.88,2.99,4.47,1.4,0.27,1.82,0.76,1.11,0.19,1.17,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,3.48,3.38,4.67,3.48,2.89,2.81,2.12,3.2,2.52,4.7,2.03,1.4,1.3,0.69,5.06,2.2,1.39,2.72,2.32,4.07,2.21,1.52,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,2.34,1.93,1.95,3.02,0.65,3.96,2.42,0.87,2.92,4.59,2.18,0.33,2.22,1.46,0.25,2.08,1.68,2.85,0,4.79,1.95,1.85,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.6,1.83,3.45,3.26,2.37,5.71,0.9,0.59,3.23,2.61,2.06,2.97,2.18,4.03,3.75,1.7,2.12,2.53,0.85,0.52,1.47,1.86,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,1.36,4.79,3.6,2.97,2.45,2.83,4.1,3.75,1.11,0.61,4.53,1.29,1.21,2.95,1.72,2.63,3.25,5.78,3.18,0.88,4.09,2.49,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
