"DONAGHADEE (CRAIGMORE)",,,,,,,,,,,,
Grid ref,IJ569818,Long,-5.569006,Lat,54.660039,,,,,,,
Station no,6203,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.81,3.45,0.98,,,,,,,,,
February,2.64,0.49,0.85,,,,,,,,,
March,3.00,1.20,0.26,,,,,,,,,
April,1.36,1.63,1.56,,,,,,,,,
May,3.05,1.23,1.69,,,,,,,,,
June,1.24,1.63,1.16,,,,,,,,,
July,2.52,1.66,4.17,,,,,,,,,
August,3.92,5.38,2.86,,,,,,,,,
September,2.02,1.74,2.71,,,,,,,,,
October,0.22,3.94,1.98,,,,,,,,,
November,5.54,2.96,3.48,,,,,,,,,
December,4.30,3.81,2.75,,,,,,,,,
Total,33.62,29.12,24.45,,,,,,,,,
Calc annual,33.62,29.12,24.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
