BARDSEY-ISLAND-LIGHTHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH111206,Long,-4.8002758,Lat,52.749913,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,3.95,3.9,0.6,2,1.6,2.5,1.25,,,,4.75,1.65,2.16,1.6,1.48,3.46,,5,2,,,,,,,,,
February,,,,2.95,3.65,0.9,2.7,1.2,3,1.7,,,,1.5,4.11,4.83,3.7,1.76,2.68,,4.6,-999,,,,,,,,,
March,,,,5.8,2.15,0.5,1.65,0.9,3.4,3.55,,,,3.5,3.17,1.34,1.9,2.14,1.95,,1.69,-999,,,,,,,,,
April,,,,0.55,2.3,0.2,1.1,3,4,3.1,,,,3.01,0.41,1.35,1.4,1.47,0.94,,6.19,1.2,,,,,,,,,
May,,,,2.64,1.6,0.8,2.65,2.3,1,1,,,,2.1,1.58,2.02,2.9,3.64,2.85,,3.7,1,,,,,,,,,
June,,,,2.13,1.8,0.5,1.05,3.6,2,2,,,,3,3.47,2.1,1.9,2.14,1.68,,3,0.7,,,,,,,,,
July,,,,3.25,1.45,0.8,1.1,3,3.1,1.6,,,,0.76,1.76,0.85,0.3,0.45,2.8,,3,,,,,,,,,,
August,,,,4.4,3.3,2.2,4.5,2,3.2,1.35,,,,0.99,2.87,2.01,1.41,8.2,2.5,,2.8,,,,,,,,,,
September,,,,2.55,2.65,0.3,0.5,1,2.1,3.25,,,,4.78,2.65,1.85,4.1,2.26,7.5,,4.1,,,,,,,,,,
October,,,,8.5,1,5.7,7.3,7.8,2.8,3.75,,,,4.77,2.11,,4.88,5.3,4.5,,3.1,,,,,,,,,,
November,,,,3.25,2.4,3.2,1.6,4,2.4,1.7,,,,4,3.12,,3.24,2.44,3,,5,,,,,,,,,,
December,,,,4.2,3.8,5.3,3.5,2,3.5,4.45,,,,1.25,7.91,,2.93,1.28,4,,2.2,,,,,,,,,,
Total,,,,44.17,30,21,29.65,32.4,33,28.7,,,,34.41,34.81,,30.26,32.56,37.86,,44.38,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 Total value removed as questioned on TYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 - Observer describes 1920 record as 'hopeless',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Feb Mar -999 (3.80),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
