CASTLETOWN LANGNESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SC282653,Long,-4.626075,Lat,54.054939,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.05,4.85,4.9,1.2,3.55,1.8,0.25,1.5,3.65,0.75,2.65,1.6,3.85,2.4,2.45,2.9,3.3,5.5,4.1,2.2,1.5,5.76,4.14,1.79,5.2,1.06,2.21,0.87,2.76,0.61,1.67,4.04,1.79,3.01,2.1,1.55,2.92,3.84,3.54,2.84,4.12,1.84,2.88,1.43,3.35,2.23,5.53,2.06,5.28,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.75,2.8,3.7,1.55,1.4,0.6,0.2,1.85,1.3,0,0.65,3.6,4.15,0,1.45,2.8,1.4,2.9,2.7,0.9,2.08,9,3.78,1.5,2.59,1.88,1.82,1.27,3.57,2.54,1.75,0.85,2.46,3.73,1.89,1.22,2.73,0.79,1.09,0.49,3.07,3.65,0.44,3.01,3.7,1.84,2.97,1.97,0.53,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,2.35,1.1,1.75,0.9,3.15,0.85,2.3,1.6,2.8,1.25,0.15,0.9,2.45,4.05,5.45,2.9,1.7,2.4,0.6,2.4,1.3,6.54,2.71,2.93,2.05,2.22,2.76,2.74,1.68,0.31,2.25,2.57,4.39,1.05,1.67,1.4,1.02,3.44,3.17,3.16,1.49,0.89,1.99,0.92,0.75,3.32,2.87,0.75,2.51,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.55,3,0.85,1.34,3.05,1.5,0.55,1.2,3.25,0.85,1.88,1.2,1.2,2.65,2.9,0.18,2.9,1.2,4.6,2.6,1.8,2.45,1.95,1.1,3,0.84,1.8,2.77,2.97,1.54,1.97,0.1,2.02,0.5,1.71,2.22,1.05,1.27,1.56,3.21,0.69,1.7,1.71,2.2,1.9,1.87,1.1,1.41,1.02,2.01,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,2,0.4,1.1,0.8,1.35,4.8,1,1.75,2.3,1.9,0.45,2.9,1.4,2,0.3,0,1,3.2,3.6,2.1,2.7,6.23,3.21,1.88,1.55,5.14,2.64,1.41,1.02,2.2,1.71,0.6,2.44,1.69,1.3,5.34,3.51,2.31,1.38,2.83,1.77,0.99,1.11,2.71,3.16,1.45,1.46,0.75,2.35,1.03,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.28,2.6,1.07,0.5,0.7,0.6,0.5,1.6,0.3,1.95,2.5,1.1,1.33,2.95,0.55,2.7,3.3,1.16,1.5,1.9,2.9,2.98,2.27,0.4,1.9,2.3,3.64,2.2,1.16,2.37,1.62,2.45,2.01,0.59,0.94,2.46,1.08,1.71,1.31,1.9,0.16,1.02,0.68,3.62,0.13,1.47,2.84,4.86,1.8,1.49,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,1.99,3.35,1.05,3.35,0.9,3.1,1.6,4.7,1.05,2.55,1.2,1.9,2.15,1.3,3.7,4.92,1.1,0,3.4,1.4,0.37,5.2,4.25,2.56,0.75,1.64,1.44,3.56,4.23,1.8,2.3,1.5,1,2.02,2.96,1.38,0.88,2.26,1.02,3.61,2.49,2.66,2.57,4.09,1.83,2.58,1.6,2.17,2.63,1.28,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,2.55,3.4,2.1,1.1,1.05,1.5,0.7,2.15,4.77,2.9,4.05,4.35,2.4,3.85,4.3,1.9,4,5,1.1,5.8,3.06,4.35,7.8,3.7,4.93,2.71,2.73,1.92,2.06,3.34,0.82,3.79,0.7,3.51,0.98,1.62,4.27,1.42,2.57,2.85,3.16,1.94,5.04,2.29,1.29,3.43,4.18,3.97,3.26,0.65,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,2.05,3.1,5.85,1.95,3,2.95,1.75,0.8,2,2.6,3.8,1.7,0.95,0.75,0.3,3.7,2.6,2.7,1.4,2.4,2.2,2.81,9.16,2.6,1.22,1.12,1.02,3.65,2.18,0.32,0.82,0.92,2.5,1.4,1.36,2.09,2.41,5.35,2.66,2,1.65,2.21,2.83,4.32,2.99,1.55,4.66,1.75,0.9,3.74,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.64,3.1,2.8,1.7,2.4,2.65,0.5,2.1,2.05,2,6.98,5.7,2.8,4.05,4.7,4.1,1.3,4.9,1.7,3.1,8.6,5.89,12.24,1.1,2.2,4.34,5.87,1.27,4.38,2.88,3.25,3.54,2.2,1.45,4.2,5.54,3.75,3.76,2.19,3.04,1.92,0.94,3.72,1.79,3.61,3.23,3.15,6.25,6.4,3.81,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
