LESLIE LOTHRIE RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO223039,Long,-3.254595,Lat,56.221295,Elevation,700,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,3.43,1.91,5.49,4.31,3.49,7.07,2.11,7.21,2.23,2.46,1.59,1.42,2.23,4.42,5.02,2.14,7.97,2.83,2.02,1.16,4.3,1.65,2.69,2.38,5.15,3.86,1.36,2.64,1.31,5.72,4.7,3.51,1.61,5.2,1.58,0.35,2.82,1.14,3.32,2.23,3.14,1.05,2.68,4.23,2.5,1.75,3.54,2.02,3.68,3.7,3.91,4.1,4.09,2.2,3.96,3.2,5.29,2.93,6.34,1.54,3.38,3.15,3.33,2.51,3.54,0.74,5.14,3.17,6.44,5.05,1.39,3.66,3.49,5.97,2.44,3.63,3.05,3.8,6.02,3.02,1.87,3.39,2.16,0.62,3.13,1.74,3.01,4.93,2.01,1.16,4.09,,,,,,,,
February,2.72,7.32,6.49,1.88,0.97,2.62,4.78,2.5,2.36,6.2,3.1,8.47,2.79,2.69,1.91,4.17,3.22,1.97,1.97,2.27,1.57,0.54,3.68,5.61,6.93,2.11,1.2,2.43,1.43,2.96,6.55,1.41,1.21,5.77,4.19,0.63,1.48,1.34,1.15,1.51,2.98,2.97,2.88,1.62,3.03,5.09,3.26,1.12,2.93,3.27,3.05,0.52,3,4.64,1.52,4.38,5.12,1.64,2.8,2.35,1.4,2.36,0.15,2.81,0.13,2.34,4.49,4.29,1.2,2.48,1.47,5.33,1.7,1.88,1,3.74,1.25,3.22,3.4,2.09,2.68,3.34,0.57,1.26,3.3,2.82,1.77,3.5,2.74,0.88,2.63,,,,,,,,
March,1.15,1.54,3.83,2.74,2.39,2.43,4.58,3.26,0.87,3.02,2.06,4.9,4.27,2.15,3.18,3.36,6.91,1.85,4.9,2.32,2.99,3.64,1.95,1.48,1.97,3.38,2.88,5.63,1.32,2.74,2.68,1.98,1.45,4.36,2.14,3.35,2.17,2.2,4.59,4.44,1.65,2.28,4.15,4.44,4,2.09,4.79,2,1.43,2.58,2.34,4.03,2.23,1.47,1.51,1.99,1.83,3.13,3.81,0.5,2.42,1.57,3.17,1.78,5.29,1.43,3.55,2.46,1.44,2.32,3.01,3.26,1.59,1.7,0.19,1.69,3.06,5.04,1.41,1.44,2.64,3.64,3.04,1.15,3.51,2.35,1.65,2.57,3.02,1.39,2.48,,,,,,,,
April,0.45,7.32,2.44,0.22,2.14,1,5.53,3.47,1.19,3.78,4.67,0.66,4.6,2.2,1.76,3.57,1.72,1.89,2.06,4.55,1.08,1.46,1.09,1.13,1.89,1.96,1.29,1.71,3.78,3.91,2.42,2.62,1.73,1.37,2.8,1.71,1.05,1.66,1.11,4.09,4.26,1.18,0.3,3,1.53,1.19,3.27,2.01,0.81,3.7,2.51,1.23,2.1,3.94,1.77,4.13,2.61,1.23,0.82,2.2,2.28,2.96,2.55,1.46,5.75,5.13,0.74,1.61,0.18,1.49,2.3,2.19,2.55,1.52,2.67,1.43,0.48,3.84,2.24,2.55,2.03,2.27,1.94,2.64,1.77,1.14,0.97,1.27,2.55,3,1.62,,,,,,,,
May,2.52,1.1,4.59,3.59,2.74,1.43,1.2,2.03,4.53,2.46,1.02,3.03,3.07,1.46,3.32,5.16,4.91,1.65,2.42,4.06,2.02,2.71,3.57,1.36,3.35,0.66,0.64,1.89,3.24,4.44,2.58,3.05,2.12,1.98,3.57,1.93,6.64,4.96,2.63,3.14,1.6,1.24,1.83,3.56,2.29,1.71,4.13,2.34,4.62,1.61,3.72,2.25,1.31,2.03,5.67,5.68,2.62,2.27,1.69,2.88,1.62,3.33,3.99,1.78,2.28,0.8,0.81,2.34,4.31,0.96,1.2,3.3,4.01,4.91,2.7,4.29,2.11,4.07,3.25,1.99,2.09,2.64,2,2.52,6.24,2.92,1.34,1.97,2.44,0.61,2.99,,,,,,,,
June,1.8,2.29,3.58,1.24,0.69,2.18,3,3.25,3.33,6.02,1.88,3.06,3.94,3.08,0.28,0.51,1.51,0.63,3.03,1.71,3.4,0.8,4.54,3.31,2.98,1.52,3.24,5.52,2.61,1.94,2.32,2.48,2.35,2.7,1.86,0.18,1.48,4.73,1.56,2.41,1.46,2.5,4.54,2.24,0.92,2.52,3.78,2.38,0.79,1.38,1.34,0.41,2.42,1.5,2.3,0.51,4.14,3.95,5.09,1.91,2.32,5.3,1.7,1.81,2.69,3.06,1.17,2.66,3.69,1.83,1.26,0.56,1.05,2.6,2.61,3.27,2.93,4.31,5.19,1.49,3.05,2.47,2.98,1.31,2.95,1.6,4.06,1.53,3.48,2.31,1.76,,,,,,,,
July,1.53,4.56,2.58,4.92,2.91,2.52,1.81,5.35,0.83,6.02,4.46,4.49,5.46,6.43,5.57,0.69,3.25,2.59,5.39,2.62,2.83,3.81,1.76,3.3,3.26,5.63,4.6,1.41,1.36,3.32,4.15,0.86,3.47,5.88,1.73,1.8,1.02,2.32,3.55,4.48,3.75,1.75,3.81,0.64,2.01,3.62,7.11,1.68,4.44,1.01,2.88,3.19,5.19,2.41,5.08,1.96,3.86,3.52,1.65,3.67,4.14,4.47,3.62,4.12,4.76,1.21,3.97,3.19,4.41,4.54,6.11,3.08,3.85,2.97,2.86,3.95,4.5,1.73,2.7,2.75,4.69,6.16,1.82,3.74,3.06,1.47,5.25,5.99,6.39,4.19,3.58,,,,,,,,
August,1.21,2.69,5.7,2.92,4.83,2.01,3.72,11.06,4.79,6.32,0.78,6.23,2.55,4.27,1.93,2.85,1.68,2.68,2.76,6.86,3.73,5.03,5.67,3.41,4.98,6.83,3.07,4.59,2.83,1.42,4.9,3.84,2.33,5.02,5.24,5.49,5.51,3.98,1.36,2.84,8.72,1.01,4.81,1.38,3.21,2.82,2.85,6.4,1.41,2.25,5.02,4.92,1.98,6.18,2.98,2.89,2.46,7.24,5.81,4.88,7.24,3.34,0.39,1.24,3.17,2.95,1.42,6.04,1.77,1.32,1.24,4.26,3.24,6.4,3.2,2.69,5.36,0,8.58,3.57,3.36,4.35,3.69,2.2,3.67,0.83,5.99,5.29,3.93,0.79,4.92,,,,,,,,
September,3.13,2.11,4.05,3.73,3.27,3.92,4.05,2.22,3.75,2.66,2.99,4.31,2.95,4.32,2.34,5.96,3.84,3.83,0.62,0.71,1.96,5.52,2.17,2.53,0.54,1.07,4.79,3.07,3.34,2.27,3.01,2.52,1.95,3.06,3.45,1.93,1.26,1.52,7.82,2.12,0.7,1.8,2.39,2.24,1.18,3.08,1.47,1.5,5.46,2.15,1.67,1.83,2.88,3.29,5.21,3.42,3.85,6.97,3.41,0.45,6.18,2.43,2.37,2.22,3.15,5.03,4.54,2.22,4.18,2.47,2.59,0.76,3.13,3.08,4.13,3.85,5.93,2.6,4.01,2.67,6.63,1.83,1.83,3.75,4.09,2.3,4.34,2,2.89,0.77,1.65,,,,,,,,
October,4.71,4.55,5.28,4.94,4.05,7.54,4.53,4.4,3.9,1.73,2.5,4.4,4.58,3,2.39,2.08,4.88,1.54,1.92,3.94,3.77,3.23,5.94,3.34,3.65,2.96,3.9,1.99,5.61,4.01,3.82,2.73,1.79,7.29,1.09,1.83,5.56,7.51,2.97,4.37,2.32,2.88,4.59,2.25,2.16,3.56,6.07,3.78,3.27,2.2,2.44,3.86,2.13,2.87,3.13,3.01,4.76,5.43,5.16,3.75,3.58,1.92,7.4,3.88,5.28,6.55,2.51,4.02,6.47,4.8,5.6,3.76,3.2,3.94,3.57,5.31,0.37,1.84,3.83,5.14,2.34,0.54,2.81,1.65,8.28,2.28,2.3,3.03,2.47,2.2,6.41,,,,,,,,
November,2.16,3.47,5.27,2.46,3.82,6.35,6.43,3.73,2.46,1.58,4.85,4.05,5,3.54,2.94,2.64,2.2,3.96,7.63,1.32,6.69,3.89,2.6,1.68,3.63,3.48,1.21,2.39,6.31,3.42,6.13,2.89,2.8,1.56,0.96,6.13,4.82,2.56,2.65,0.32,3.68,5.35,1.8,2.54,4.65,2.05,5.44,3.4,1.9,6.38,3.52,2.16,2.19,2.65,2.31,1.15,5.93,3.64,3.82,5.25,4.14,6.75,2.23,1.72,0.92,5.13,3.38,0.75,4.56,5.69,5.81,3.23,0.66,1.5,6.35,0.97,6.28,3.77,1.83,3.77,3.95,6.03,2.28,4.51,5.74,1.75,0.74,2.7,1,7.4,4.22,,,,,,,,
December,5.71,2.64,6.54,2.27,3.23,3.91,10.89,2.71,2.52,1.53,4.43,3.52,5.69,1.95,4.98,2.46,4.39,1.6,2.57,2.08,4.07,5.82,1.38,3.53,2.53,5.84,6.62,4.85,2.84,5.92,4.34,5.32,3.94,2.83,3.01,2.52,1.44,3.79,1.36,4.32,3.5,4.51,4.51,2.33,6.58,8.14,4.9,2.21,2.32,5.47,4.03,3.85,2.44,3.97,3.89,2.74,0.45,2.25,3.71,4.31,2.84,1.42,6.33,1.42,5.16,2.45,3,4.17,2.3,1.63,2.77,2.18,3.03,2.07,3.04,3.39,3.15,2.24,3.96,3.72,2.22,3.37,2.78,3.74,3.73,5.95,3.63,4.5,6.92,5.5,3.04,,,,,,,,
