"LESLIE LOTHRIE RESERVOIR",,,,,,,,,,,,
Grid ref,NO223039,Long,-3.254595,Lat,56.221295,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.70,3.51,1.61,5.20,1.58,0.35,2.82,1.14,3.32,2.23,,
February,6.55,1.41,1.21,5.77,4.19,0.63,1.48,1.34,1.15,1.51,,
March,2.68,1.98,1.45,4.36,2.14,3.35,2.17,2.20,4.59,4.44,,
April,2.42,2.62,1.73,1.37,2.80,1.71,1.05,1.66,1.11,4.09,,
May,2.58,3.05,2.12,1.98,3.57,1.93,6.64,4.96,2.63,3.14,,
June,2.32,2.48,2.35,2.70,1.86,0.18,1.48,4.73,1.56,2.41,,
July,4.15,0.86,3.47,5.88,1.73,1.80,1.02,2.32,3.55,4.48,,
August,4.90,3.84,2.33,5.02,5.24,5.49,5.51,3.98,1.36,2.84,,
September,3.01,2.52,1.95,3.06,3.45,1.93,1.26,1.52,7.82,2.12,,
October,3.82,2.73,1.79,7.29,1.09,1.83,5.56,7.51,2.97,4.37,,
November,6.13,2.89,2.80,1.56,0.96,6.13,4.82,2.56,2.65,0.32,,
December,4.34,5.32,3.94,2.83,3.01,2.52,1.44,3.79,1.36,4.32,,
Total,47.60,33.21,26.75,47.02,31.62,27.85,35.25,37.71,34.07,36.27,,
Calc annual,47.60,33.21,26.75,47.02,31.62,27.85,35.25,37.71,34.07,36.27,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
