EAST KIRKBY HOUSE,,,,,,,,,,,,
Grid ref,TF331630,Long,-0.011,Lat,53.148,Elevation,90,ft,,,,
Station no,2550,,,,,,,,,,,
,,,,,,,,,,,,
,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.73,1.90,2.57,1.77,1.85,1.72,2.83,1.70,3.78,1.82,2.03
February,,0.98,0.28,2.81,3.24,1.07,1.82,1.68,1.82,1.56,0.50,1.39
March,,2.04,0.88,1.94,1.86,0.58,1.51,0.65,2.25,1.37,0.39,1.73
April,1.75,3.39,1.15,1.76,1.07,1.44,1.84,1.92,2.23,1.40,0.70,2.93
May,0.55,2.67,1.78,0.50,1.61,2.66,3.73,2.86,0.96,1.21,1.32,1.91
June,0.83,1.50,0.62,0.80,0.54,2.29,0.07,3.36,3.73,2.31,1.48,2.14
July,3.07,2.75,0.46,4.16,2.65,2.43,0.60,1.48,2.11,1.24,1.61,3.79
August,3.17,1.43,2.61,2.31,2.18,2.29,1.21,2.05,3.36,1.98,1.13,2.34
September,2.10,2.05,0.40,2.58,2.79,2.13,2.60,0.77,3.25,0.40,0.49,4.04
October,2.74,1.49,1.86,1.40,1.94,4.14,2.35,2.05,2.14,3.90,2.64,
November,2.16,0.57,1.44,1.08,2.74,1.81,3.41,2.66,3.17,2.58,3.95,
December,3.46,2.75,1.53,2.60,2.66,2.37,2.03,0.93,2.92,2.03,3.90,
Total,,23.35,14.91,24.51,25.05,25.06,22.89,23.24,29.64,23.76,19.93,
,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/058,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/049,,,,,,,,,,,,
,,,,,,,,,,,,
# The gauge and observer moved to East Kirby Manor in October 1930.,,,,,,,,,,,,
