"EAST KIRKBY MANOR",,,,,,,,,,,,
Grid ref,TF334618,Long,-0.007329,Lat,53.136665,,,,,,,
Station no,2550,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.83,2.05,1.04,1.68,2.04,4.02,1.69,2.03,3.25,4.61,,
February,3.21,0.58,2.02,2.32,3.31,1.23,2.32,3.18,0.23,2.99,,
March,3.15,3.43,0.90,1.92,2.38,0.92,1.78,1.68,2.00,1.40,,
April,2.57,1.20,3.49,0.45,1.01,1.24,0.32,0.85,1.81,0.91,,
May,3.67,1.23,2.99,2.95,4.04,0.62,1.84,2.29,0.39,0.71,,
June,1.40,1.74,3.27,2.03,3.16,2.85,1.94,3.11,0.94,0.25,,
July,0.76,0.57,1.69,2.09,0.60,2.64,2.52,5.18,2.51,3.85,,
August,4.07,1.52,2.72,4.03,0.93,3.50,2.87,2.01,1.25,3.72,,
September,1.33,2.48,0.87,1.80,0.79,1.74,4.44,2.07,0.09,2.51,,
October,1.29,2.38,2.21,3.04,1.50,1.30,1.70,2.06,1.91,6.65,,
November,3.78,2.94,1.78,3.40,1.21,0.98,2.04,0.88,2.23,3.77,,
December,1.26,1.88,0.95,2.03,1.74,1.50,2.12,2.87,3.75,4.20,,
Total,29.32,22.00,23.93,27.74,22.71,22.54,25.58,28.21,20.36,35.57,,
Calc annual,29.32,22.00,23.93,27.74,22.71,22.54,25.58,28.21,20.36,35.57,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
