EAST KIRKBY MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF334618,Long,-0.007,Lat,53.137,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.89,1.07,1.85,1.65,2.69,3.08,3.80,2.46,4.28,1.96,2.37,2.90,5.01,2.53,2.43,1.67,2.05,4.19,1.20,1.20,2.83,2.05,1.04,1.68,2.04,4.02,1.69,2.03,3.25,4.61
February,,2.55,0.84,2.39,0.86,2.18,2.47,2.42,1.16,0.63,2.40,2.91,1.14,0.58,2.30,2.05,2.17,1.80,1.10,0.79,3.66,3.21,0.58,2.02,2.32,3.31,1.23,2.32,3.18,0.23,2.99
March,,0.56,1.76,2.79,1.68,0.39,1.27,3.02,0.25,2.47,1.73,3.09,1.36,0.56,0.38,0.83,1.21,5.02,0.49,0.84,0.86,3.15,3.43,0.90,1.92,2.38,0.92,1.78,1.68,2.00,1.40
April,,2.96,3.18,1.37,1.77,3.24,1.94,2.98,0.38,2.04,1.43,0.66,0.68,1.15,2.09,1.98,1.24,2.08,1.31,1.73,2.46,2.57,1.20,3.49,0.45,1.01,1.24,0.32,0.85,1.81,0.91
May,,1.84,3.92,2.17,0.85,0.37,0.85,4.15,2.14,1.02,1.63,1.86,3.39,2.26,1.99,1.74,1.33,0.38,2.57,1.81,2.04,3.67,1.23,2.99,2.95,4.04,0.62,1.84,2.29,0.39,0.71
June,,2.55,0.53,2.49,1.07,2.07,3.34,1.29,1.20,2.66,0.70,0.30,1.19,2.09,1.79,2.35,2.95,2.62,3.43,0.85,1.54,1.40,1.74,3.27,2.03,3.16,2.85,1.94,3.11,0.94,0.25
July,,5.61,3.61,1.40,1.06,0.41,4.82,2.92,3.51,2.24,5.50,5.03,3.12,1.28,2.11,1.37,3.12,2.26,1.90,1.59,2.30,0.76,0.57,1.69,2.09,0.60,2.64,2.52,5.18,2.51,3.85
August,,4.23,2.15,0.66,2.25,3.09,1.28,0.99,4.57,1.16,1.08,4.04,1.47,2.40,2.62,2.82,3.33,0.03,3.52,1.60,2.54,4.07,1.52,2.72,4.03,0.93,3.50,2.87,2.01,1.25,3.72
September,,2.78,2.29,1.37,1.32,3.21,1.65,1.31,2.70,1.28,0.99,0.74,1.22,2.00,4.11,2.37,3.06,1.19,2.48,1.33,4.09,1.33,2.48,0.87,1.80,0.79,1.74,4.44,2.07,0.09,2.51
October,1.75,1.00,4.02,3.24,1.75,3.11,2.46,1.63,2.82,4.09,2.88,2.78,2.37,1.01,2.83,2.20,2.58,0.36,1.78,4.13,1.02,1.29,2.38,2.21,3.04,1.50,1.30,1.70,2.06,1.91,6.65
November,3.43,2.32,1.84,2.62,2.08,3.93,2.48,2.15,2.31,4.44,4.05,3.00,2.39,3.04,3.93,0.98,4.93,1.39,1.05,2.94,4.49,3.78,2.94,1.78,3.40,1.21,0.98,2.04,0.88,2.23,3.77
December,1.91,1.50,0.96,0.63,3.62,2.43,1.32,2.62,4.22,2.71,1.99,0.66,1.75,0.79,1.19,2.48,2.60,2.58,3.21,1.81,2.01,1.26,1.88,0.95,2.03,1.74,1.50,2.12,2.87,3.75,4.20
Total,,30.79,26.17,22.98,19.96,27.12,26.96,29.28,27.72,29.02,26.34,27.44,22.98,22.17,27.87,23.60,30.19,21.76,27.03,20.62,28.21,29.32,22.00,23.93,27.74,22.71,22.54,25.58,28.21,20.36,35.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge and observer moved from East Kirby House in October 1930.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1971 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
