"HOYLAKE DISTRICT COUNCIL OFFICE",,,,,,,,,,,,
Grid ref,SJ217889,Long,-3.178856,Lat,53.391107,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.77,2.10,2.32,2.24,2.38,1.28,4.85,0.98,1.62,1.66,,
February,3.15,1.15,1.99,1.95,3.58,1.04,1.94,1.58,2.12,0.57,,
March,0.97,1.62,1.67,2.97,1.53,2.81,2.07,1.56,2.84,2.25,,
April,0.91,1.53,1.90,1.81,1.05,1.87,0.91,1.28,2.80,2.84,,
May,1.48,0.87,3.49,2.42,1.97,0.43,2.57,2.83,2.83,0.92,,
June,2.14,1.87,1.70,1.83,1.29,2.00,1.01,4.26,1.94,2.10,,
July,0.79,2.23,2.13,2.36,1.34,1.73,1.00,2.09,3.43,2.90,,
August,5.48,2.68,2.37,3.26,3.44,3.01,2.79,2.61,2.14,3.10,,
September,0.38,1.05,0.76,4.22,2.56,1.30,1.49,0.45,3.04,2.46,,
October,4.46,2.96,3.32,6.39,1.56,2.26,4.55,4.73,1.61,3.19,,
November,3.05,3.34,1.52,3.10,1.86,3.63,1.86,1.85,2.40,0.88,,
December,2.52,3.59,2.72,2.16,2.37,0.60,2.88,2.12,1.57,6.07,,
Total,29.10,24.99,25.89,34.71,24.93,21.96,27.92,26.34,28.34,28.94,,
Calc annual,29.10,24.99,25.89,34.71,24.93,21.96,27.92,26.34,28.34,28.94,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
