HOYLAKE-RECREATION-GROUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ218888,Long,-3.1773274,Lat,53.390224,Elevation,23,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,4.32,2.76,2.55,1.5,1.66,1.44,4.28,1.96,3.37,4.43,2.88,2.85,4.57,3.49,3.71,2.23,3.33,2.09,5.38,2.97,0.7
February,,,,,,,,,,,0.45,2.52,0.06,2.95,0.28,2.35,2.22,4.47,0.38,1.97,2.31,2.49,1.2,1.76,1.27,2.41,3.95,1.57,1.58,1.03,4
March,,,,,,,,,,,3.65,0.34,1.68,2.07,1.49,0.76,1.62,1.58,1.01,1.54,2.06,2.92,2.47,0.59,0.94,0.7,0.86,4.32,0.68,2.06,1.3
April,,,,,,,,,,,3.1,2.44,2.95,0.96,1.74,1.8,0.89,2.64,0.17,1.98,2.07,1.77,0.98,1.14,1.79,1.6,0.77,2.34,1.33,2.38,2.8
May,,,,,,,,,,,0.99,2.08,3.5,1.34,1.83,1.76,1.11,3.03,2.11,1.76,2.41,1.85,3.78,2.01,1.46,2.99,2.42,3.45,0.93,2.5,0.7
June,,,,,,,,,,,1.59,4.66,0.58,1.63,1.44,3.58,3.72,0.87,2.87,2.71,0.76,0.36,0.39,2.2,1.51,2.27,3.66,2.53,3.4,0.71,1.4
July,,,,,,,,,,,4.3,1.83,3.56,1.23,1.32,1.77,2.81,1.5,2.69,5.58,3.09,1.27,2.77,2.02,2.64,3.67,3.31,3.62,2.07,2,1.9
August,,,,,,,,,,,4.4,5.61,1.25,1.73,3.78,1.18,1.29,1.44,4.81,3.18,0.64,3.85,2.35,3.49,2.22,1.12,3.54,0.3,2.51,1.51,5.6
September,,,,,,,,,,,2.36,3.59,2.45,0.89,2.18,5.67,3.25,2.39,1.84,0.76,2.53,0.45,1.65,2.89,4.32,1.67,2.7,2.52,1.61,0.54,4.8
October,,,,,,,,,,,3.91,1.78,5.45,3.6,4.43,4.11,1.76,2.47,3.91,2.58,3.72,2.4,2.86,3.28,3.54,4.2,0.54,0.83,1.78,3.34,2
November,,,,,,,,,,,4.12,4.7,2.28,1.23,2.3,3.48,2.56,1.42,3.13,4.31,5.13,2.04,0.73,2.65,5.73,0.16,3.75,3.46,1.78,4.14,4.4
December,,,,,,,,,,4.62,3.68,1.53,1.27,0.95,4.14,3.2,3.7,2.77,3.28,1.95,2.24,1.09,3.37,1.42,2.59,1.81,2.89,2.34,3.02,4.23,3.1
Total,,,,,,,,,,,36.87,33.84,27.58,20.08,26.59,31.1,29.21,26.54,29.57,32.75,29.84,23.34,27.12,26.94,31.72,24.83,31.72,29.37,26.07,27.41,32.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Hoylake Recreation Ground as described on the Council Office record. Altitudes match. Gauge moved on 7 Nov 1929, 200 yards E (not W as stated on Council Office record).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
