NORTHAMPTON KINGSTHORPE,,,,,,,,,,,,
Grid ref,SP749633,Long,-0.903966,Lat,52.262774,,,,,,,
Station no,RR7055,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.02,0.95,0.91,2.01,2.45,0.92,3.85,,,,,
February,4.49,1.18,1.51,1.02,4.00,0.60,1.93,,,,,
March,0.67,2.00,1.39,2.97,1.57,2.32,1.28,,,,,
April,0.68,2.85,1.49,1.76,0.99,1.57,0.55,,,,,
May,1.35,1.78,1.80,3.27,3.54,0.97,1.34,,,,,
June,2.51,1.95,2.56,3.76,0.61,2.95,3.91,,,,,
July,2.14,1.94,1.56,2.87,3.10,0.55,0.81,,,,,
August,3.10,1.57,3.22,3.68,3.86,2.83,0.85,,,,,
September,0.70,1.47,1.19,2.87,2.16,1.25,0.90,,,,,
October,1.87,1.50,2.13,6.97,0.82,0.90,4.08,,,,,
November,1.95,0.76,1.82,1.63,1.34,2.63,4.04,,,,,
December,2.87,3.66,1.21,1.28,1.48,0.88,2.42,,,,,
Total,25.35,21.61,20.79,34.09,25.92,18.37,25.96,,,,,
Calc annual,25.35,21.61,20.79,34.09,25.92,18.37,25.96,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
