DERWENT-DALE-MOSLEY-BANK,,,,,,,,,,,,,,,,,,,,
Grid ref,SK164959,Long,-1.7544699,Lat,53.459597,Elevation,1350,ft.,,,,,,,,,,,,
Station no,RR6188,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.2,2.2,4.8,3.3,4.3,2.4,5.1,5.4,3.96,,,,,
February,,,,,,,3.6,3,4.7,4.5,6,7,2.6,2.15,3.62,,,,,
March,,,,,,,4.2,4.9,3.9,5,1.2,4,6.3,7,7.2,,,,,
April,,,,,,,1.9,3.8,3.7,3.5,5.4,3.9,2,5.38,2.42,,,,,
May,,,,,,,4,4.7,3.8,2.6,4.3,2,3.9,3.4,4,,,,,
June,,,,,,,2,8.7,2.1,5.1,3.5,4.4,4.2,2.69,4.99,,,,,
July,,,,,,,3.8,3.4,5.9,7.4,5.1,0.7,7,1.4,3.81,,,,,
August,,,,,,,4.2,5.5,4,2.7,6.9,3.5,9.9,1.68,4.1,,,,,
September,,,,,,,1.8,0.9,4.6,4,0.5,3.1,3.7,3.4,3.6,,,,,
October,,,,,,,7.5,9.2,1.8,7.3,3.6,4.1,4.6,6,4.55,,,,,
November,,,,,,,7.7,4.8,4.4,2.8,4,6.4,3.8,5.86,7.3,,,,,
December,,,,,,,4.4,4.8,2.7,8,8,9,7.3,3.04,8.8,,,,,
Total,58,51.7,44.3,67.3,41.7,44.9,51.3,55.9,46.4,56.2,52.8,50.5,60.4,47.4,58.35,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Mosley Bank at the stated altitude.,,,,,,,,,,,,,,,,,,,,
NGR could be up to 300m NW or SW.,,,,,,,,,,,,,,,,,,,,
 580m from BROADHEAD-CLOUGH,,,,,,,,,,,,,,,,,,,,
