PAISLEY CROOKSTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS5216662846,Long,-4.362127,Lat,55.836124,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,4.12,3.3,5.05,7.58,8.45,4.85,8.25,3.75,10.45,6.05,1.7,2.8,0.3,4.65,8.25,8.6,3.3,4.6,2.9,3.2,2.4,7.3,3.7,3.2,1.5,6.7,0.75,1.8,1.3,3,6.55,5.45,2.5,3.7,9.05,4.35,1.75,5,1,5.25,4.5,5,,,,,,,,,
February,,,,,,,,,,6.3,2.8,5.3,2.9,1.8,1.55,1.85,6,4.75,2.7,2.5,3.55,3.9,4.85,2.8,6.3,4.9,1.7,4.55,0.35,2.68,0.45,0.4,2.2,4.2,11.3,0.25,1,3.5,3.7,2,3,1.1,1.05,8.6,2.2,2.45,2.7,3.2,2.7,2,4,,,,,,,,,
March,,,,,,,,,,0.75,0.8,3.1,2.8,2.15,3.65,1.95,5.9,2,1.7,5.5,3,3.3,4.5,1.7,2.6,2.15,3.35,2,3.6,1.1,1.9,2.15,0.9,1.5,3.35,1.3,3.1,4,1.2,3.7,0.3,2.55,1.9,9,1.5,3.3,4.05,3.75,4.5,3.3,2.2,,,,,,,,,
April,,,,,,,,,,1.5,1.6,4.03,0.67,0.25,2.3,1.37,2.15,3.35,2.7,1.6,3.6,1.15,2.2,2.15,1.45,1.3,1.1,1.65,1.3,1.6,0.35,0.75,0.6,0.9,1.45,0.8,1.3,1.95,2.3,3.3,1.9,2.95,0.3,1.1,3.9,2.15,1,2,1.1,4,4.75,,,,,,,,,
May,,,,,,,,,,0.73,3.5,1.1,3.15,3.03,2.3,1.1,0.7,2.4,3,2,0.85,2,2.2,2.2,2.5,2.3,2.3,0.7,3.1,2.9,2,1.3,3.7,2.25,1.8,0.05,0.25,2,1.4,3.8,2.2,1.45,1.7,2.2,2.73,1.1,3.85,3.85,2.3,2.1,2.1,,,,,,,,,
June,,,,,,,,,,2,1.24,1.8,6.65,1.92,0.5,2.65,3.43,3.2,2.8,5.7,1.3,3.15,3,2.5,1.2,0.4,0.9,0.3,1.63,0.25,3.3,1.1,3,1.35,2,1.65,2.8,5.5,1.6,1.45,3.1,2.35,1.3,1.8,1.45,0.5,1.2,3.05,2.75,2.5,2.6,,,,,,,,,
July,,,,,,,,,,2.23,2.05,3,4.55,5.15,2.13,1.5,2.6,3,0.3,3.4,4.8,2.75,4.5,3.3,5.5,0.95,3.1,2.25,4.6,1.8,3.6,0.7,1,2,2.15,3.2,4.2,1.85,0.85,3,2.4,1.4,1.95,2.8,1.65,2.45,1.8,2.3,2.5,3.5,3.8,,,,,,,,,
August,,,,,,,,,,0.8,1.5,3.2,3.57,4.05,4.4,2.8,4.43,7.1,3.7,5.2,0.3,3.6,2.55,4.5,2.35,2.9,1.3,2.35,2.15,4.5,2.5,5,5.65,2.65,3.6,4.7,1.6,4.3,4.85,0.85,3.7,3,1.85,6.1,3.7,3.9,5.3,4.1,3,2.35,6.7,,,,,,,,,
September,,,,,,,,,,6.25,3.75,1.8,8.45,5.03,4.9,5.3,3.15,1.7,5.5,4.9,2.6,2.15,2.95,2.7,3.9,5.7,5.4,2.9,1,1.2,3.9,4.6,4,2.7,0.03,0.8,4.3,2.9,3.8,3.4,3.65,3.25,3.15,3.8,3.7,2.1,1.25,0.8,4.3,1.5,1.3,,,,,,,,,
October,,,,,,,,,,1.45,4.55,2.4,3.97,7.4,9.55,5.3,6.95,7.1,5.2,2.2,0.55,2.5,4,4.8,4.2,3,3.35,1.55,2.2,2.95,2.7,4.1,3.4,5.4,3.7,2.8,4.1,1.8,3.25,3.1,5.4,3.25,2.2,8.25,1.5,2.75,5.65,6.2,1.2,6,2.4,,,,,,,,,
November,,,,,,,,,,5.25,1.75,3.25,6,3.12,4.25,4.6,3.65,8.65,2.05,1.65,6.1,6.15,6.2,7.65,4.7,2.35,4,3.2,6.1,1.9,6.4,3.7,3.9,2.5,3.4,5.15,0.9,3,5.05,5.8,5.35,3.15,2.4,2.3,1.8,4.25,4.45,2.6,3.2,2.8,3.1,,,,,,,,,
December,,,,,,,,,,8.05,4,5.5,8.1,3.8,1.95,5.85,7,6.2,1.65,3.8,4.5,5.2,5.8,5,7.3,2.3,3.8,3.1,4.6,3.9,1.3,7.3,1.8,4.5,3.25,5.2,6,6.05,6.5,3,8.7,4.65,5.15,3.5,3.75,3.6,3.5,6.5,3.4,5,3.9,,,,,,,,,
Total,,,,,,,,,,39.43,30.84,39.53,58.39,46.15,42.33,42.52,49.71,59.9,37.35,40.15,33.95,36.15,47.4,47.55,50.6,31.55,34.9,27.45,33.83,27.18,35.7,34.8,33.35,31.45,42.73,26.65,31.35,38.15,37.5,39.95,45.15,31.6,26.65,58.5,32.23,30.3,39.75,39.35,36.2,39.55,41.85,,,,,,,,,
