LUNE HEAD 5 MLS NE OF [BROUGH],,,,,,,,,,,,,,,,,,,,
Grid ref,NY818225,Long,-2.28200197,Lat,54.59800177,Elevation,1779,ft,,,,,,,,,,,,
Station no,3496,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.7,6.1,5.7,1.5,1.9,-999,1.9,4.2,,,,,,
February,,,,,,,6.6,5.1,1.9,4.1,5.1,-999,1.5,0.5,,,,,,
March,,,,,,,6.5,5.6,3.2,3.1,1.3,-999,1.2,0,,,,,,
April,,,,,,,3.6,3.7,4.5,2.4,4,1.3,4.2,0.2,,,,,,
May,,,,,,,1.1,3.5,5.1,1.8,1.9,0.2,0.5,0.4,,,,,,
June,,,,,,,2.6,4.7,4.6,4.2,3.8,4.2,8,4.7,,,,,,
July,,,,,,,4.1,6.4,3.7,6.9,6.9,5.6,5.1,2.4,,,,,,
August,,,,,,,3.7,10.9,5.8,6.1,2.1,5.9,3.8,3.4,,,,,,
September,,,,,,,6.9,4.2,6.1,4.4,5.5,4.2,,5.7,,,,,,
October,,,,,,4.8,4.2,6.8,3.8,2.5,7.4,3.4,4.7,5.4,,,,,,
November,,,,,,5.9,2.9,6.7,4.6,3.1,5.7,5.8,-999,3.2,,,,,,
December,,,,,,3.5,9.1,5.1,4.1,4.8,3.2,4.1,-999,1.1,,,,,,
Total,,,,,,,53,68.8,53.1,44.9,48.8,43.4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1881 Jan,Feb,Mar bracketed",,,,,,,,,,,,,,,,,,,,
1882 Nov Dec bracketed 7.8; Sept gauge tampered with so value computed,,,,,,,,,,,,,,,,,,,,
NGR elevation/direction and distance from Laithkirkl Church on record,,,,,,,,,,,,,,,,,,,,
