WEYMOUTH WESTHAM,,,,,,,,,,
Grid ref,SY679788,Long,-2.453935,Lat,50.608115,Elevation,,ft,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,2.07,7.15,4.99,4.49,,
February,,,,,2.13,6.19,4.18,2.9,,
March,,,,,2.99,2.96,1.69,4.95,,
April,,,,,1.8,1.71,1.92,1.68,,
May,,,,,1.64,3.28,1.23,6.93,,
June,,,,,2.18,2,1.52,0.85,,
July,,,,,0.73,1.72,1.09,1.33,,
August,,,,,1.3,3.84,2.02,1.36,,
September,,,,,3.24,0,7.54,1.23,,
October,,,,,2.53,9.6,2.05,2.11,,
November,,,,,5.67,5.44,2,0.88,,
December,,,,,2.56,4.55,2.22,2,,
Total,,,,,28.84,48.44,32.45,30.71,,
