MORPETH STOBHILL,,,,,,,,,,
Grid ref,NZ206843,Long,-1.6782873,Lat,55.152612,Elevation,150,ft,,
Station no,RR8705,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,1.56,4.7,,,0.85,2.31
February,,,,,2.52,1.11,,,0.98,1.92
March,,,,,0.89,3.05,,,1.62,1.85
April,,,,,1.22,1.39,,,2.43,2.97
May,,,,,2.27,0.42,,,1.66,3.63
June,,,,,3.1,2.88,,,2.53,2.2
July,,,,,1.9,5.17,,,1,2.92
August,,,,,2.6,3.3,,,2.05,1.27
September,,,,,0.76,0.53,,,0.82,2.36
October,,,,,4.35,4.36,,,4.73,2.13
November,,,,,1.16,1.85,,,2.95,1.45
December,,,,,1.79,1.87,,,1.53,4.16
Total,,,,,24.12,30.63,,92,23.15,29.17
