HOREHAM-GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ576170,Long,0.2413382,Lat,50.930925,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,5.15,1.13,1.97,1.26,3.41,1.61,2.66,4.92,1.01,3.82,1.59,1.42,3.88,6.22,3.94,2.97,,,,,,,,,
February,,,,,,,2.99,1.77,1.44,0.4,4.29,2,2.57,1.3,3.99,4.9,4.78,0.99,1.11,2.51,0.72,0.84,,,,,,,,,
March,,,,,,,1.63,1.11,2.68,3.96,1.73,2.68,4.98,2.87,5.6,0.61,3.58,1.57,1.07,4.04,2.52,2.23,,,,,,,,,
April,,,,,,,1.7,3.52,2.21,1.86,1.99,1.85,0.07,4.36,1.23,1.8,1.65,1.84,2.88,3.35,2.93,1.26,,,,,,,,,
May,,,,,,,2.36,3.01,0.99,1.09,2.43,0.93,1.64,0.93,0.82,3.89,2.15,1.63,1.47,0.32,1.26,1.48,,,,,,,,,
June,,,,,,,1.82,2.63,1.22,1.55,2.01,2.1,3.19,0.7,1.82,0.63,3.23,2.89,1.36,0.68,1.46,0.01,,,,,,,,,
July,,,,,,,0.43,1.66,3.67,2.31,2.51,0.4,1.2,3.66,1.77,4.68,1.17,3.06,4.89,1.55,4.68,0.34,,,,,,,,,
August,,,,,,,0.96,1.84,3.81,3.01,2.17,1.01,8.34,1.67,0.9,1.45,2.27,5.74,1.43,3.49,1.46,,,,,,,,,,
September,,,,,,,1.39,0.84,1.68,3.3,0.26,1.8,3.34,2.6,1.33,2.8,1.56,1.86,6.59,1.8,3.98,,,,,,,,,,
October,,,,,,,5.25,6.08,2.27,8.6,3.69,7.31,4.24,5.29,2.48,3.09,5.97,5.15,3.36,0.7,2.21,,,,,,,,,,
November,,,,,,,6.86,2.75,1.25,1.5,5.84,6.95,2.22,5.02,4.92,3.67,4.8,1.67,2.56,3.52,1.71,,,,,,,,,,
December,,,,,,,2.24,3.2,3.95,5.9,4.25,7.21,4.44,1.63,8.72,8.39,4.21,2.65,2.7,4.72,4.07,,,,,,,,,,
Total,,,,,,,32.78,29.54,27.14,34.74,34.58,35.85,38.89,34.95,34.59,39.73,36.96,30.47,33.3,32.9,30.94,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
