HOREHAM GRANGE,,,,,,,,,,,,
Grid ref,TQ577172,Long,0.242847,Lat,50.932694,,,,,,,
Station no,RR6736,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.15,1.13,1.97,1.26,,
February,,,,,,,2.99,1.77,1.44,0.40,,
March,,,,,,,1.63,1.11,2.68,3.96,,
April,,,,,,,1.70,3.52,2.21,1.86,,
May,,,,,,,2.36,3.01,0.99,1.09,,
June,,,,,,,1.82,2.63,1.22,1.55,,
July,,,,,,,0.43,1.66,3.67,2.31,,
August,,,,,,,0.96,1.84,3.81,3.01,,
September,,,,,,,1.39,0.84,1.68,3.30,,
October,,,,,,,5.25,6.08,2.27,8.60,,
November,,,,,,,6.86,2.75,1.25,1.50,,
December,,,,,,,2.24,3.20,3.95,5.90,,
Total,,,,,,,32.78,29.54,27.14,34.74,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.78,29.54,27.14,34.74,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
