LOCKERBROOK FARM,,,,,,,,,,,,
Grid ref,SK165894,Long,-1.753302,Lat,53.401170,,,,,,,
Station no,RR7997,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.51,4.30,3.11,,
February,,,,,,,,3.28,4.98,4.03,,
March,,,,,,,,5.14,4.21,4.97,,
April,,,,,,,1.80,3.11,3.32,2.81,,
May,,,,,,,2.82,4.67,3.92,2.69,,
June,,,,,,,1.82,7.98,2.45,4.63,,
July,,,,,,,3.23,2.72,5.11,5.33,,
August,,,,,,,4.07,4.55,4.02,2.22,,
September,,,,,,,1.76,0.98,3.45,3.52,,
October,,,,,,,6.62,6.88,1.52,6.47,,
November,,,,,,,6.35,3.87,4.44,1.92,,
December,,,,,,,4.97,4.30,3.08,9.38,,
Total,,,,,,,,49.99,44.80,51.08,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,33.44,49.99,44.80,51.08,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,,
