DERWENT-LOCKERBROOK-FARM,,,,,,,,,,,,,,,,,,,,
Grid ref,SK165894,Long,-1.753302,Lat,53.40117,Elevation,1174,ft.,,,,,,,,,,,,
Station no,RR7997,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,2.51,4.3,3.11,4.68,1.68,4.66,4.89,3.74,,,,,
February,,,,,,,,3.28,4.98,4.03,4.1,6.17,1.96,1.73,2.16,,,,,
March,,,,,,,,5.14,4.21,4.97,1.08,2.86,4.95,5.28,5.63,,,,,
April,,,,,,,1.8,3.11,3.32,2.81,4.62,3.91,1.38,3.99,2.51,,,,,
May,,,,,,,2.82,4.67,3.92,2.69,3.51,1.07,3.41,2.48,3.26,,,,,
June,,,,,,,1.82,7.98,2.45,4.63,4.29,3.67,4.93,2.21,3.57,,,,,
July,,,,,,,3.23,2.72,5.11,5.33,5.55,0.39,6.01,1.24,4.68,,,,,
August,,,,,,,4.07,4.55,4.02,2.22,5.95,2.44,7.93,1.78,3.42,,,,,
September,,,,,,,1.76,0.98,3.45,3.52,0.48,3.37,3.02,2.88,4,,,,,
October,,,,,,,6.62,6.88,1.52,6.47,3.46,3.82,4.15,4.21,3.11,,,,,
November,,,,,,,6.35,3.87,4.44,1.92,5.25,5.9,3.56,5.64,7.2,,,,,
December,,,,,,,4.97,4.3,3.08,9.38,6.07,7.01,7.58,3.83,9.06,,,,,
Total,,,,,,,,49.99,44.8,51.08,49.04,42.29,53.54,40.16,52.34,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Lockerbrook Farm. Stated altitude is 75 ft too high or the gauge is 150m W to match altitude,,,,,,,,,,,,,,,,,,,,
