COOKSTOWN (LOUGHERY AGRIC COLLEGE),,,,,,,,,,,,
Grid ref,IH813743,Long,-6.742332,Lat,54.610519,,,,,,,
Station no,6251,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.68,5.42,1.28,2.73,4.15,3.10,4.88,3.92,2.52,4.12,,
February,2.90,0.94,0.99,4.97,2.90,1.41,2.85,4.51,0.97,3.66,,
March,3.13,2.04,0.51,3.58,0.94,1.93,3.01,2.13,3.28,3.08,,
April,1.72,1.15,1.06,0.62,2.56,1.35,1.50,1.52,3.41,2.33,,
May,2.33,1.21,2.44,4.60,2.29,0.94,2.07,2.57,1.23,3.29,,
June,2.86,2.29,1.89,3.32,4.50,2.46,2.08,5.14,2.41,2.59,,
July,3.01,1.59,6.40,3.56,1.75,4.31,2.79,4.55,3.93,5.87,,
August,5.37,4.85,3.17,3.11,1.06,6.64,4.43,3.97,1.23,5.23,,
September,3.33,1.56,3.92,5.59,3.26,3.63,4.67,5.02,1.54,3.08,,
October,1.03,6.59,2.03,5.80,2.88,-999.00,3.03,2.79,4.68,4.68,,
November,5.37,3.02,3.36,5.28,1.97,2.09,1.31,1.92,3.96,3.93,,
December,5.08,4.32,3.48,5.08,5.96,5.47,5.42,5.33,6.49,4.04,,
Total,39.81,34.98,30.53,48.24,34.22,35.89,38.04,43.37,35.65,45.90,,
Calc annual,39.81,34.98,30.53,48.24,34.22,33.33,38.04,43.37,35.65,45.90,,
Difference,0.00,0.00,-0.00,0.00,0.00,2.56,-0.00,0.00,0.00,0.00,,
