COOKSTOWN (ULSTER DAIRY SCHOOL),,,,,,,,,,,,,,,,,,,,
Grid ref,IH813743,Long,-6.742332,Lat,54.610519,Elevation,208,ft,,,,,,,,,,,,
Station no,6251/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,3.07,4.97,1.86,,,,,,,,,
February,,,,,,,,,2.85,3.49,2.89,,,,,,,,,
March,,,,,,,,,3.2,4.05,2.81,,,,,,,,,
April,,,,,,,,,2.6,4.52,1.75,,,,,,,,,
May,,,,,,,,,1.27,0.45,1.95,,,,,,,,,
June,,,,,,,,,2.09,1.05,0.36,,,,,,,,,
July,,,,,,,,,4.21,3.85,3.73,,,,,,,,,
August,,,,,,,,,2.17,0.51,,,,,,,,,,
September,,,,,,,,,1.98,2.59,,,,,,,,,,
October,,,,,,,,6.23,3.13,4.71,,,,,,,,,,
November,,,,,,,,8.32,5.65,4.87,,,,,,,,,,
December,,,,,,,,4.56,3.1,4.38,,,,,,,,,,
Total,,,,,,,,,35.32,39.44,,,,,,,,,,
