TAVISTOCK-MIX-(GAWTON),,,,,,,,,,
Grid ref,SX454686,Long,-4.18093,Lat,50.49683,Elevation,175,ft,,
Station no,RR4126,,,,,,,,,
,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,,3,1.8,2,11.1,2,,,,
February,,4.4,2.2,10.6,2.8,4.6,,,,
March,,4,4.4,2.2,1,4.8,,,,
April,,3,2.4,4.6,2.6,2.4,,,,
May,,1.2,3.2,1.4,2.6,3.6,,,,
June,,2.4,3.8,7.2,3.2,3.4,,,,
July,,2.8,1.8,1.2,3.4,2.2,,,,
August,,2.5,7,1.2,3.8,1.8,,,,
September,,2.5,1.1,5.8,3.2,6.8,,,,
October,,6,5.7,5.1,1.4,7.6,,,,
November,,5,7.5,5.8,2.8,3.4,,,,
December,,7.6,6,8.8,2.4,2.6,,,,
Total,,44.4,46.9,55.9,40.3,45.2,,,,
,,,,,,,,,,
NGR given for Great Gawton Estate,,,,,,,,,,
Could have been at Gawton Mine 400yrds NW,,,,,,,,,,
Or Higher Gawton 0.5miles ENE,,,,,,,,,,
No elevation given so 175ft is for given NGR,,,,,,,,,,
