ELGIN (ROTHA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ217626,Long,-3.313436,Lat,57.646489,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.02,0.97,2.06,0.93,1.2,0.86,2.62,1.92,2.42,1.5,1.8,3.6,1.08,1.3,2.39,3.22,2.75,2.06,1.05,2.8,0.43,1.2,0.63,1.14,1.72,1.9,2,1.01,1.15,0.48,1.98,2.09,2.19,2.56,2.8,2.7,2.01,2.73,1.91,2.84,1.4,2.01,1.32,1.92,2.58,0.87,1.49,2.91,2.05,1.1,1.11,2.16,3.21,2.28,2.15,,
February,,,,,0.87,2.24,0.91,0.89,2.09,2.93,0.99,1.34,2.23,1.95,2.91,0.95,0.58,0.88,2.6,1.6,2.24,2.46,0.87,1.5,2.47,2.27,2.19,1.33,2.09,1.23,0.92,1.96,1.43,1.24,1.04,1.59,2.63,0.72,1.96,1.32,1.82,0.36,1.75,2.2,1.41,2.97,1.03,1.06,1.11,0.58,0.81,2.34,0.55,2.7,1.01,1.98,1,2.05,1.39,,
March,,,,,2.06,1.2,0.7,2.02,3.47,1.82,1.87,2.18,1.59,0.96,0.82,2.41,1.75,2.04,2.57,2.39,2.25,1.55,2.33,1.93,0.65,3.22,2.36,1.35,2.48,3.63,0.97,0.91,2.3,3.35,2.25,3.12,1.93,1.17,0.99,1.7,2.06,1.64,1.94,0.7,1.19,1.9,2.1,1.2,1.2,0.3,1.12,1.02,2.62,0.56,1.76,1.65,0.62,2.04,1.03,,
April,,,,,0.87,1.99,1.41,1.95,1.33,2.43,0.91,0.88,1.16,1.06,0.95,1.43,1.59,1.25,1.53,3.95,1.25,1.37,0.58,1.77,1.5,2.26,1.97,1.6,2.34,2.1,4.98,1.7,1.67,1.07,0.55,2.11,1.8,2.09,1.35,2.82,1.7,0.68,4.08,1.58,0.35,1.68,2.1,2.8,0.88,1.6,1.27,1.92,3.05,1.92,3.37,2.48,0.79,0.43,0.35,,
May,,,,,1.4,1.5,3.36,1.97,1.24,0.6,0.92,2.59,2.43,0.96,2.92,1.02,1.12,1.36,2.5,2.2,1.3,1.22,2.21,2.06,2.32,1.2,3.43,2.1,1.45,2.16,1.45,2.41,3.25,1.5,3.05,0.94,3.51,1.9,1.75,0.3,2.01,2.05,1.63,3.42,3.61,2.24,2.08,3.02,1.44,1.3,0.88,2.32,2.12,0.8,2.48,1.74,0.98,1.77,2.41,,
June,,,,,1.46,1.46,0.74,0.48,2.79,0.97,2.16,1.04,1.87,2.04,2.66,3.2,3.12,3.23,1.64,1.59,1.37,2.63,2.6,1.07,0.87,0.64,0.85,4.3,1.35,1.75,1.14,1.93,1.93,2.15,1.82,0.8,6.18,2.52,1.46,2.9,1.12,1.43,1.34,1.54,1.87,0.7,2.37,3.32,3.17,1.75,1.25,3.06,0.32,1.82,1.54,2.17,1.23,2.45,4.23,,
July,,,,,1.49,1.66,2.5,2.38,2.76,1.52,3.33,6.33,3.01,3.23,5.3,3.85,3.87,0.95,1.84,3.36,4.76,4.06,3.4,4.32,0.45,1.94,2.5,3.02,2.86,1.5,3.75,3.22,1.53,0.7,4.6,3.95,3.63,1.5,6.16,0.82,2.46,2.4,3.64,2.29,3.62,3.6,1.82,1.9,2.1,1.8,3,4.76,2.47,3.57,4.57,2.51,4.9,2.74,3.83,,
August,,,,,1.39,2.78,2.54,1.61,1.54,2.96,3.53,3.71,2.6,3.61,3.7,2.4,2.6,3.13,2.1,1.65,3.66,2.44,2.28,3.46,3.52,2.88,2.95,2.42,1.84,2.4,4.07,0.58,5.2,1.22,2.4,2.76,2.36,2.59,2.6,2.83,2.41,3.2,2.81,5.71,4.99,1.53,1.62,1.49,2.2,3.5,3.85,2.27,1.5,1.92,2.56,2.69,3.15,2.24,1.74,,
September,,,,,0.88,2.41,2.3,3.61,1.43,1.9,1.43,2.49,2.52,5.37,0.8,1.96,3.49,2.45,3.9,3.62,1.98,1.07,1.43,2.48,1.4,1.6,1.72,0.75,3.85,2.17,1.01,1.23,1.21,3.47,1.76,5.46,1,1.87,4,3.16,3.34,1.11,2.93,2.45,4.2,4.32,2.4,5.05,3,1.52,4.65,1.37,2.8,1.3,1.17,3.36,2.55,1.2,3.84,,
October,,,,,2.43,2.64,1.85,4.56,3.03,2.37,4.65,0.75,5.87,3.07,2.41,5.1,4.03,0.95,2.6,1,2.85,2.48,2.58,2.5,1.41,4.25,3.85,4.37,0.6,3.46,2.06,2.4,2.1,0.82,1.8,0.92,3.41,5.22,2.05,3.03,0.96,2.28,1.28,3.3,3.48,2.4,2.83,4.04,1.6,3.33,4.42,2.31,5.95,4.33,3.54,4.15,2.36,2.29,2.79,,
