"ELGIN (ROTHA)",,,,,,,,,,,,
Grid ref,NJ217626,Long,-3.313436,Lat,57.646489,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.75,2.06,1.05,2.80,0.43,1.20,0.63,1.14,1.72,1.90,,
February,2.24,2.46,0.87,1.50,2.47,2.27,2.19,1.33,2.09,1.23,,
March,2.25,1.55,2.33,1.93,0.65,3.22,2.36,1.35,2.48,3.63,,
April,1.25,1.37,0.58,1.77,1.50,2.26,1.97,1.60,2.34,2.10,,
May,1.30,1.22,2.21,2.06,2.32,1.20,3.43,2.10,1.45,2.16,,
June,1.37,2.63,2.60,1.07,0.87,0.64,0.85,4.30,1.35,1.75,,
July,4.76,4.06,3.40,4.32,0.45,1.94,2.50,3.02,2.86,1.50,,
August,3.66,2.44,2.28,3.46,3.52,2.88,2.95,2.42,1.84,2.40,,
September,1.98,1.07,1.43,2.48,1.40,1.60,1.72,0.75,3.85,2.17,,
October,2.85,2.48,2.58,2.50,1.41,4.25,3.85,4.37,0.60,3.46,,
November,2.66,3.97,0.53,2.40,1.87,4.40,4.60,1.88,1.74,2.87,,
December,3.15,3.66,2.85,1.34,2.52,0.70,2.00,1.49,0.69,2.10,,
Total,30.22,28.97,22.71,27.63,19.41,26.56,29.05,25.75,23.01,27.27,,
Calc annual,30.22,28.97,22.71,27.63,19.41,26.56,29.05,25.75,23.01,27.27,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
