GILSLAND VICARAGE,,,,,,,,,,
Grid ref,NY631662,Long,-2.5782072,Lat,54.989013,Elevation,450,ft,,
Station no,3622/1,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,3.63,4.16,3.24,,,,
February,,,,1.42,3.13,2.32,,,,
March,,,,0.54,2.86,1.84,,,,
April,,,2.28,1.66,2.33,1.91,,,,
May,,,3.39,2.56,5.79,2,,,,
June,,,3.56,5.3,2.83,4.06,,,,
July,,,4.29,2.29,2.5,4.5,,,,
August,,,6.13,3.52,2.12,,,,,
September,,,3.8,6.4,3.59,,,,,
October,,,4.89,3.1,4.75,,,,,
November,,,1.92,6.79,0.31,,,,,
December,,,1.62,3.63,1.62,,,,,
Total,,,,40.84,35.99,,,,,
