BRUTON (SOUTH BREWHAM),,,,,,,,,,,,
Grid ref,ST728358,Long,-2.390010,Lat,51.120834,,,,,,,
Station no,2000/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.79,3.51,1.08,2.07,2.62,4.54,2.68,3.48,5.35,3.96,,
February,4.92,1.11,2.41,3.23,2.33,0.36,3.37,3.87,0.31,2.84,,
March,3.91,4.56,0.96,4.50,1.41,1.86,3.64,1.36,4.75,2.10,,
April,4.15,2.10,3.61,0.65,1.75,1.29,0.26,1.09,2.64,2.30,,
May,2.74,3.76,2.03,2.01,3.52,0.54,1.87,2.76,1.00,1.70,,
June,1.33,2.51,1.84,4.84,2.51,2.35,1.43,4.98,0.92,2.98,,
July,1.44,0.82,4.92,3.26,0.78,3.07,4.38,2.04,1.45,4.99,,
August,6.10,3.43,4.66,5.44,0.68,5.30,3.23,4.10,1.28,6.27,,
September,3.42,3.87,3.80,4.80,1.50,4.22,3.91,5.88,0.27,4.21,,
October,0.74,4.46,3.34,3.94,2.80,2.38,2.96,3.56,3.02,8.53,,
November,9.87,4.47,1.87,6.91,3.83,0.88,2.47,2.69,4.23,4.53,,
December,2.38,3.79,1.10,3.36,5.31,3.51,3.95,4.44,8.03,5.08,,
Total,44.79,38.39,31.62,45.01,29.04,30.30,34.15,40.25,33.25,49.49,,
Calc annual,44.79,38.39,31.62,45.01,29.04,30.30,34.15,40.25,33.25,49.49,,
Difference,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
