EAST-MOLESEY-PALACE-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ149685,Long,-0.34937,Lat,51.40418,Elevation,37,ft,,,,,,,,,,,,
Station no,RR4799,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,1.12,1.83,2.01,1.25,3.19,1.74,0.9,0.86,2.22,1.8,0.44,1.4,3.01,1.37,0.69,1.96,0.95,2.7
February,,,1.19,3.08,1.16,2.61,0.47,0.57,0.83,1.78,0.76,0.03,0.97,2.64,1.36,0.15,0.26,2.05,1.07,1.78
March,,,0.75,0.82,1,1.06,1.32,1.53,2.45,1.59,1.32,1.71,0.89,0.26,1.01,1.22,3.15,3.97,1.17,0.5
April,,,2.27,1.48,1.18,1.3,1.01,1.39,1.74,1.91,1.59,1,0.7,0.03,1.82,1.49,0.75,1.98,0.89,2.03
May,,,1.02,1.88,0.64,3.34,3.83,1.38,1.02,2.66,1.44,2.7,1.34,1.37,1.71,0.58,0.33,1.57,2.62,1.43
June,,,2.61,2.67,1.72,1.63,0.86,0.95,2.51,0.66,2.99,1.51,2.42,1,2.02,0.35,1.71,3.3,1.05,1.56
July,,,1.63,2.82,1.68,0.32,1.94,0.87,5.1,2.04,4.32,2.97,2.1,1.8,4.08,4.28,1.44,1.14,0.55,
August,,,1.21,1.16,1.05,1.3,0.71,2.34,2.56,2.42,1.56,4,2.77,1.15,2.54,4.14,2.49,2.62,1.12,
September,,,2.31,2.44,1.72,3.96,1.72,1.77,1.21,1.31,1.5,1.24,2.65,1.04,1.18,1.23,7,2.06,0.47,
October,,,4.88,1.77,1.14,2.82,2.49,1.27,1.31,3.93,0.98,5.99,3.51,3.88,4.54,2.83,2.81,0.54,3.14,
November,,,2.11,2.47,1.11,2.54,2.48,3.25,2.94,0.58,1.65,2.32,2.96,2.05,2.99,3.29,1.23,1.14,2.52,
December,,,1.78,0.53,2.12,0.95,3.8,1.5,1.19,1.22,0.64,2.97,1.2,2.2,1.16,2.25,3.29,2.26,2.41,
Total,,,22.88,22.95,16.53,23.08,23.82,18.56,23.76,20.96,20.97,28.24,21.95,18.82,27.42,23.18,25.15,24.59,17.96,
,,,,,,,,,,,,,,,,,,,,
Riverside Palace Road East Molesey,,,,,,,,,,,,,,,,,,,,
Unknown exact location but this is largest house at the time,,,,,,,,,,,,,,,,,,,,
1895 Feb Gauge moved about 40ft E,,,,,,,,,,,,,,,,,,,,
1899 July 17 Gauge moved 800 yds W to Spreyton House,,,,,,,,,,,,,,,,,,,,
