EAST-MOLESEY-PALACE-ROAD-(GREENWAY),,,,,,,,,,
Grid ref,TQ146679,Long,-0.354047,Lat,51.398568,Elevation,37,ft,,
Station no,RR4799,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,1.05,,,,,,,,
February,,1.23,0.62,,,,,,,
March,,2.1,1.63,,,,,,,
April,,1.91,0.62,,,,,,,
May,,0.37,2.3,,,,,,,
June,2.36,1.35,3.64,,,,,,,
July,1.09,2.5,1.38,,,,,,,
August,3.03,1.86,3.43,,,,,,,
September,0.25,1.27,4.09,,,,,,,
October,1.5,1.73,1.43,,,,,,,
November,1.69,0.44,1.67,,,,,,,
December,2.34,3.03,1.3,,,,,,,
Total,,18.84,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1900 May 7 Gauge moved 0.25 mile E to Greenway,,,,,,,,,,
1902 Jan Record mislaid,,,,,,,,,,
