THORNTON LE MOOR - PASTURE HOUSE,,,,,,,,,,
Grid ref,SE403886,Long,-1.382,Lat,54.291,Elevation,225,ft,,
Station no,RR4584,,,,,,,,,
,,,,,,,,,,
,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922
January,2.55,1.39,3.03,0.36,3.13,2.11,2.51,2.18,2.56,2.52
February,1.07,1.44,2.87,2.72,0.72,1.80,1.09,0.85,0.16,1.94
March,2.10,1.43,1.18,2.40,2.03,1.00,2.29,2.24,0.89,1.33
April,3.24,0.57,0.83,1.12,1.78,1.41,1.62,3.08,0.98,2.52
May,1.84,1.42,1.33,2.92,0.89,1.91,0.96,2.23,1.41,0.82
June,1.18,2.49,1.42,2.37,2.27,0.91,1.30,0.93,0.32,1.72
July,1.02,4.47,4.42,1.94,1.09,4.04,2.20,4.94,1.46,4.01
August,1.05,1.28,2.44,1.69,7.50,2.18,2.88,1.77,4.04,1.62
September,2.08,1.36,1.24,2.14,0.39,5.71,0.46,1.00,1.14,2.69
October,1.68,1.46,1.23,2.79,2.83,1.91,4.89,2.02,1.14,1.12
November,1.91,2.19,1.42,2.01,1.39,1.48,2.65,0.87,1.93,1.26
December,1.01,4.33,4.23,1.73,1.72,3.47,2.93,2.89,2.22,3.28
Total,20.73,23.83,25.64,24.19,25.74,27.93,25.78,25.00,18.25,24.83
,,,,,,,,,,
TYRain_1910-1919_20_pt1/226,,,,,,,,,,
TYRain_1920-1930_23_pt1/195,,,,,,,,,,
