THORNTON LE MOOR - THE CHALET,,,,,,,,,,,
Grid ref,SE394882,Long,-1.396,Lat,54.288,Elevation,140,ft,,,
Station no,RR4584,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,1.15,1.82,,2.70,,,,
February,,,,4.32,0.45,,1.42,,,,
March,,,,0.70,,,0.69,,,,
April,,,,2.21,,,0.72,,,,
May,,,,1.78,4.05,,2.25,,,,
June,,,,0.27,2.74,,3.14,,,,
July,,,,1.80,2.79,,1.80,,,,
August,,,,3.51,3.13,,2.53,,,,
September,,,,2.36,1.59,,1.46,,,,
October,,,,2.52,3.61,,,,,,
November,,,,3.30,1.02,,4.46,,,,
December,,,,2.72,3.04,,0.91,,,,
Total,,,,26.64,,,,,,,
,,,,,,,,,,,
TYRain_1920-1930_23_pt1/192,,,,,,,,,,,
,,,,,,,,,,,
# The readings for March and April 1924 are estimates and have been omitted.,,,,,,,,,,,
# The reading for October 1926 is an estimate and has been omitted.,,,,,,,,,,,
#,,,,,,,,,,,
"# Property called 'The Chalet' not located, grid reference based on the church directions.",,,,,,,,,,,
