SALTCOATS,,,,,,,,,,,,
Grid ref,NS245414,Long,-4.789570,Lat,55.634390,,,,,,,
Station no,RR8464,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.00,2.15,3.50,7.15,4.19,2.82,3.07,2.53,5.36,4.87,,
February,3.75,1.55,1.25,4.43,3.24,3.12,2.45,3.11,2.56,2.57,,
March,0.50,2.45,2.55,6.05,1.91,4.42,2.84,5.11,4.27,2.14,,
April,1.40,2.85,1.05,1.61,3.95,2.02,1.27,2.36,2.38,3.54,,
May,2.90,2.10,2.05,2.49,2.35,1.60,4.54,4.18,2.51,1.68,,
June,2.10,3.00,1.00,2.11,1.21,1.82,1.08,4.46,1.98,2.81,,
July,2.90,1.65,2.60,3.93,2.86,2.54,3.01,2.82,3.41,4.45,,
August,4.95,4.95,2.80,6.17,4.92,5.18,4.89,4.51,3.15,2.15,,
September,2.10,3.40,4.05,4.23,3.72,2.27,1.61,1.82,5.13,1.72,,
October,4.15,4.15,1.10,7.42,2.28,3.44,5.97,6.59,1.55,6.30,,
November,5.50,3.60,3.15,3.81,3.39,3.91,3.86,3.45,3.71,1.67,,
December,7.60,4.40,3.90,3.69,2.74,3.27,4.12,6.02,3.65,4.30,,
Total,42.85,36.25,29.00,53.09,36.76,36.41,38.71,46.96,39.66,38.20,,
Calc annual,42.85,36.25,29.00,53.09,36.76,36.41,38.71,46.96,39.66,38.20,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
