SALTCOATS,,,,,,,,,,,,,,,,,,,,
Grid ref,NS245414,Long,-4.78957,Lat,55.63439,Elevation,23,ft,,,,,,,,,,,,
Station no,RR8464,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,5,2.15,3.5,7.15,4.19,2.82,3.07,2.53,5.36,4.87,3.63,3,1.77,4.16,,,,,,
February,3.75,1.55,1.25,4.43,3.24,3.12,2.45,3.11,2.56,2.57,5.03,4.76,3.6,2.28,4,,,,,
March,0.5,2.45,2.55,6.05,1.91,4.42,2.84,5.11,4.27,2.14,1.56,1.86,4.31,3.39,4.36,,,,,
April,1.4,2.85,1.05,1.61,3.95,2.02,1.27,2.36,2.38,3.54,3.11,2.82,1.58,2.75,2.32,,,,,
May,2.9,2.1,2.05,2.49,2.35,1.6,4.54,4.18,2.51,1.68,1.96,2.6,1.64,2.7,1.65,,,,,
June,2.1,3,1,2.11,1.21,1.82,1.08,4.46,1.98,2.81,2.27,2.55,4.49,2.69,0.72,,,,,
July,2.9,1.65,2.6,3.93,2.86,2.54,3.01,2.82,3.41,4.45,3.37,2.61,2.4,1.18,,,,,,
August,4.95,4.95,2.8,6.17,4.92,5.18,4.89,4.51,3.15,2.15,6.74,2.54,2.75,1.64,,,,,,
September,2.1,3.4,4.05,4.23,3.72,2.27,1.61,1.82,5.13,1.72,1.79,2.12,2.29,2.54,,,,,,
October,4.15,4.15,1.1,7.42,2.28,3.44,5.97,6.59,1.55,6.3,2.42,2.99,4.33,2.38,,,,,,
November,5.5,3.6,3.15,3.81,3.39,3.91,3.86,3.45,3.71,1.67,3.69,5.52,3.6,5.63,,,,,,
December,7.6,4.4,3.9,3.69,2.74,3.27,4.12,6.02,3.65,4.3,4.41,6.19,6.23,3.98,4.45,,,,,
Total,42.85,36.25,29,53.09,36.76,36.41,38.71,46.96,39.66,38.2,39.98,39.56,38.99,35.32,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is estimate as no information at all on the record,,,,,,,,,,,,,,,,,,,,
