HIGH-LANE-LYME-VIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ959851,Long,-2.0630726,Lat,53.362756,Elevation,602,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,4.47,4.9,3.94,2.3,2.48,2.18,2.5,2.85,3.58,4.12,2.2,0.96,2.93,4.12,4.98,,,,,,
February,,,,,,,,,,,0.29,4.07,0.21,3.96,0.24,3.59,2.35,4.9,1.18,2.43,2.05,3.19,1.3,2.51,1.46,,,,,,
March,,,,,,,,,,,2.55,0.29,2.05,2.65,2.37,1.24,1.38,1.88,1.17,1.57,2.32,2.79,1.69,1.08,0.52,,,,,,
April,,,,,,,,,,,1.97,4.17,3.66,1.14,1.53,2.13,1.21,2.89,0.34,1.89,2.13,1.52,1.73,1.41,2.57,,,,,,
May,,,,,,,,,,2.6,1.67,2.26,4.89,1.8,2.28,0.63,0.42,1.84,3.17,1.42,1.56,1.64,4.15,2.17,,,,,,,
June,,,,,,,,,,1.4,2.44,5.35,0.49,3.16,,3.27,2.44,2.07,3.65,2.05,1.12,3.04,0.75,2.76,,,,,,,
July,,,,,,,,,,4.33,7.08,5.14,4.11,2.91,,1.45,4.45,3.36,4.36,6.07,4.74,2.6,4.3,2.02,,,,,,,
August,,,,,,,,,,4.32,3.66,6.02,1.3,1.58,2.5,2.07,1.68,1.03,2.81,1.95,1.47,5.14,4.52,4.11,,,,,,,
September,,,,,,,,,,2.08,3.35,3.38,2.78,0.82,3.44,4.96,4,1.15,2.35,1.11,3.35,0.53,2.24,4.29,,,,,,,
October,,,,,,,,,,5.4,5.39,1.78,7.45,4.56,4.52,5.65,3.9,1.69,5.98,1.39,3.31,4.12,5.39,2.96,,,,,,,
November,,,,,,,,,,7.18,3.85,5.31,2.76,1.19,1.18,4.47,3.37,1.57,4.07,5.25,6.52,2.71,0.89,2.36,,,,,,,
December,,,,,,,,,,5.8,3.09,1.4,1.24,0.35,3.75,3.01,3.26,2.78,3.3,1.94,3.1,1.73,2.82,1.51,,,,,,,
Total,,,,,,,,,,,39.81,44.07,34.88,26.42,,34.65,30.96,28.01,35.96,31.19,33.87,29.97,32.71,31.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Lyme View. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
