"HAWICK, FALNASH, ROXBURGH",,,,,,,,,,
Grid ref,NT396059,Long,-2.9539011,Lat,55.343405,Elevation,585,ft,,
Station no,RR7368,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,5.5,9.3,4.5,4.5,11.7,,,
February,,,2,4.3,3.4,4.2,6.7,,,
March,,,5.4,1.8,6,1.9,3.3,,,
April,,,5,5.4,1.1,0.3,4,,,
May,,,3.6,3.5,1.5,9.2,2.2,,,
June,,,5.5,5.2,1.9,0.6,2.5,,,
July,,,4.7,1.1,2.2,3,4.1,,,
August,,,5.5,6,1.8,5.5,6.1,,,
September,,,5.7,6.8,6.9,1.1,6.6,,,
October,,,9.1,5,6.3,7.2,3.2,,,
November,,,1.6,4.8,,7.5,3.7,,,
December,,,7.7,4.9,3.5,6.3,6,,,
Total,,,61.3,58.1,,51.3,60.1,,,
