ARDROSSAN (BURNFOOT),,,,,,,,,,,,,,,,,,,,,
Grid ref,NS226435,Long,-4.8210685,Lat,55.652546,Elevation,26,ft,,,,,,,,,,,,,
Station no,5210,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.52,3.88,5.4,3.5,3.83,2.35,4.51,4.3,5.98,4.1,3.74
February,,,,,,,,,,,0.12,3.17,0.04,2.93,0.48,4.45,2.27,5.74,2.11,5.18,1.59
March,,,,,,,,,,,2.65,1.27,2.35,1.87,2.21,1.92,2.54,1.54,3.26,3.45,4.33
April,,,,,,,,,,,2.18,1.63,2.89,1.72,2.79,3.3,1.27,1.95,0.37,2.07,2.08
May,,,,,,,,,,,1.59,3.19,2.98,2.77,2.48,0.95,2.93,1.36,3.39,0.95,1.31
June,,,,,,,,,,,2.7,4.55,1.73,2.28,2.78,3.9,1.74,3.05,4.58,2.28,1.87
July,,,,,,,,,,,2.97,4.21,3.18,3.83,1.64,1.42,6.35,5.16,4.33,5.82,3.08
August,,,,,,,,,,,5.11,2.52,2.78,3.08,4.21,1.39,2.88,3.75,2.11,2.35,1.52
September,,,,,,,,,,,3.86,1.42,4.96,1.06,6.42,5.15,3.93,2.2,3.77,2.82,4.9
October,,,,,,,,,,,6.72,2.89,5.41,3.06,7.13,7.61,4.04,2.81,8.46,2.28,4.76
November,,,,,,,,,,,4.67,7.1,3.38,3.2,0.96,4.89,3.59,1.03,6.83,7.94,5.96
December,,,,,,,,,,,5.18,3.65,7.03,1.62,6.77,3.92,5.72,3.8,3.21,3.04,5.86
Total,,,,,,,,,,,42.27,39.48,42.13,30.92,41.7,41.25,41.77,36.69,48.4,42.28,41
