"SUNNYSIDE, JEDBURGH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref, NT 653 215,Long,-2.55128,Lat,55.486176,Elevation,351,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,0.82,0.27,2.6,2.71,2.28,2.31,1.6,1.16,2.69,3.5,1.17,2.54,0.64,4.16,2.54,0.81,0.65,1.49,1.28,1.69,4.02,1.85,2.65,1.68,1.38,0.54,2.56,1.17,1.39,1.74,2.53,2.79,0.9,0.84,0.43,
February,,,,,1.01,0.74,2.07,0.72,2.1,1.62,1.23,1.1,2.56,1.31,2.08,0.74,3.68,1.76,0.84,2.29,1.77,1.47,1.57,1.93,2.81,1.94,0.68,0.41,1.17,1.36,0.8,0.09,2.46,2.67,4.2,0.97,1.06,0.91,1.42,
March,,,,,1.99,0.17,2.55,1.14,2.08,1,0.85,1.43,2.71,1.54,1.2,0.88,2.42,2.12,0.87,1.65,1.69,1.57,2.06,1.41,2.02,1.34,2.95,1.71,1.98,2.83,1.43,3.17,1.6,0.8,0.92,3.49,2.7,3.2,1.3,
April,,,,,1.6,0.75,1.22,1.28,2.29,1.05,0.51,3.78,2.56,0.36,1.56,1.06,1.7,2.79,1.36,1.31,1.86,1.35,2.09,1.36,1.09,2.13,1.65,1,1.95,2.55,0.77,1.05,0.92,0.62,1.38,1.52,0.74,1.04,1.95,
May,,,,,1.76,6.09,1,2.95,1.23,2.38,0.95,1.21,3.71,1.58,1.69,1.36,0.69,2.16,2.41,2.11,1.53,2.12,2.34,1.23,2,2.58,3.41,1.28,0.98,1.55,1.49,1.85,2.82,2.47,3.1,1.22,0.89,1.55,1.8,
June,,,,,1.26,0.07,0.52,1.19,0.26,2.9,1.37,3.87,2.04,1.23,1.3,2.19,3.37,2.12,2.52,4.01,1.88,2.16,3.81,2.96,0.77,0.49,1.98,0.35,2.65,0.34,3.01,0.9,3.92,2.5,4.04,1.04,1.9,2.59,1.18,
July,,,,,1.61,2.19,3.2,6.53,1.07,0.16,1.67,3.26,4.27,3.54,3.04,3.13,1.19,3.26,1.07,4.87,3.64,2.4,2.93,4.22,4.92,1.21,3.68,2.67,4.83,3.86,2.23,3.74,2.38,3.19,3.54,5.48,3.17,3.52,0.68,
August,,,,,0.94,3.05,1.73,1.38,2.58,0.62,1.43,1.69,2.97,3.98,3.64,2.19,3.14,7.72,3.51,3.43,0.54,5.86,2.03,2.12,1.26,1.47,0.93,1.7,1.9,4.54,4.72,4.93,3.75,2.45,5.55,3.34,0.85,3.47,2.03,
September,,,,,2.31,0.61,3.29,1.1,3.57,3.79,1.14,2.43,4.91,2.46,3.1,2.64,3.65,1.64,2.53,1.44,3.55,3.33,1.99,3.14,3.07,2.13,2.32,4.87,1.12,1.38,1.64,4.29,2.57,1.94,1.15,0.29,3.98,2.52,0.67,
October,,,,,4.74,3.58,0.63,1.03,1.32,2.06,2.87,1.93,4.36,3.25,3.29,2.15,2.06,3.72,1.99,1.03,3.29,2.1,2.15,3.3,0.91,2.27,4.65,1.42,1.69,4.74,1.54,1.88,5,1.75,2.96,5.19,5.85,1.65,4.06,
November,,,,,1.51,1.81,2.45,0.18,1.93,1.33,1.67,2.62,4.04,2.28,3.91,3.95,2.67,2.89,4.07,2.05,3.85,3.13,2.69,2.06,1.4,0.99,3.11,2.91,4.26,0.64,4.16,2.23,0.97,2.86,2.15,2.83,0.88,2.1,2.15,
December,,,,,1.94,1.23,1.66,0.61,3.95,2.29,1.65,2.5,3.43,1.22,3.54,1.65,6.31,0.95,1.94,1.36,2.83,2.15,3.76,1.32,2.66,0.57,3.29,2.27,1.59,1.54,1.71,4.92,1.2,2.52,1.9,1.58,4.02,3.12,5.35,
Total,,,,,21.49,20.56,22.92,20.82,24.66,21.51,16.94,26.98,40.25,26.25,29.52,24.48,31.52,35.29,25.65,26.36,27.08,29.13,28.7,26.74,26.93,18.97,31.3,22.27,25.5,25.87,26.06,30.22,28.98,25.51,33.42,29.74,26.94,26.51,23.02,
