DAGENHAM-MARLEY-SCHOOL,,,,,,,,,,
Grid ref,TQ496839,Long,0.155496,Lat,51.534189,Elevation,10,ft,,
Station no,1248/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.89,1.1,2.77,3.03,1.13,1.15,1.6,1.53
February,,,1.9,1.98,1.46,0.23,2.16,2.03,0.08,1.42
March,,,0.46,1.89,0.98,0.96,0.93,0.76,1.32,1.35
April,,,2.29,0.27,0.28,1.15,0.23,1.42,1.68,0.37
May,,,0.98,2.17,4.02,0.45,0.8,2.28,1.31,1.58
June,,,1.16,2.6,2.19,1.61,0.43,4.43,0.48,1.74
July,,,3.27,2.73,0.28,2.81,4.37,2.41,1.01,2.78
August,,,1.68,3.36,1.27,3.84,1.71,3.64,1.03,3.35
September,,,1.97,1.86,2.17,2.78,2.56,4.64,0.08,3.81
October,,,3.44,1.53,3.69,1.08,1.68,1.97,2.15,6.08
November,,,0.74,3.27,0.44,0.48,3.05,1.85,2.74,3.33
December,,,0.84,1.17,1.49,2.66,1.67,2.55,3.14,2.07
Total,,,19.62,23.93,21.04,21.08,20.72,29.13,16.62,29.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1953 Gauge moved to ground level,,,,,,,,,,
