DAGENHAM-MARLEY-SCHOOL (ROOF GAUGE),,,,,,,,,,
Grid ref,TQ496839,Long,0.155496,Lat,51.534189,Elevation,30,ft,,
Station no,1248/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.4,1.29,,,,,,,,
February,5.45,0.68,,,,,,,,
March,2.59,2.03,,,,,,,,
April,2.54,1.23,,,,,,,,
May,2.14,1.35,,,,,,,,
June,0.56,2.53,,,,,,,,
July,2.13,0.51,,,,,,,,
August,2.59,1.79,,,,,,,,
September,2.39,2.68,,,,,,,,
October,0.79,2.06,,,,,,,,
November,3.21,3.78,,,,,,,,
December,1.8,1.82,,,,,,,,
Total,27.59,21.75,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1951-1952 Gauge on roof - marked OMIT on TYR but not crossed through.,,,,,,,,,,
