HAWKSHEAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SD348980,Long,-3.0051611,Lat,54.373314,Elevation,393,ft,,,,,,,,,,,,
Station no,RR7973,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,11.82,10.46,14.04,6.29,13.59,8.35,2.69,2.3,0.63,4.85,9.75,,,,,,
February,,,,1.45,6.47,2.63,7.71,7.17,4.91,4.42,6.8,7.08,8.59,7.22,,,,,,
March,,,,4.26,5.28,2.52,7.36,3.37,4.22,5.47,3.51,8.12,6.07,2.51,,,,,,
April,,,,0.85,2.69,2.59,3.9,3.65,3.46,2.63,4.02,2.44,2.85,3.27,,,,,,
May,,,,3.55,1.17,3.72,0.82,5.57,5.7,2.26,2.96,4.16,2.74,2.66,,,,,,
June,,,,3.89,1.39,6.31,5.31,4.68,4.7,6.9,3.83,7.52,3.71,4.51,,,,,,
July,,,,9.94,2.55,3.15,3.62,6.96,0.93,8.47,6.68,8.12,10.21,3.45,,,,,,
August,,,,8.28,13.33,4.98,5.32,8.68,7.54,7.94,1.93,8.46,5.09,7.78,,,,,,
September,,,,4.98,7.27,9.44,5.86,4.86,7.34,8.14,6.12,5.32,4.15,7.69,,,,,,
October,,,,11.42,15.56,6.76,4.44,14.46,8.03,4.13,1.85,3.81,4.63,8.98,,,,,,
November,,,,4.61,7.55,8.73,5.51,15.06,3.16,2.11,9.53,10.39,7.74,11.94,,,,,,
December,,,,5.98,5.2,5.69,11.81,8.51,3.03,6.89,9.36,6.64,5.46,7.06,,,,,,
Total,,,,71.03,78.92,70.56,67.95,96.56,61.37,62.05,58.89,72.69,66.09,76.82,,,,,,
,,,,,,,,,,,,,,,,,,,,
"No details re location on record but observer, W Lane, lived at Highfield House in 1881 so NGR for that used above.",,,,,,,,,,,,,,,,,,,,
