READING-TILEHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU665740,Long,-1.0441866,Lat,51.461078,Elevation,320,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.16,1.18,3.64,1.85,2.85,2.09,4.19,1.39,3.2,1.32,1.72,2.28,1.78,0.78,4.86,5.06,2.81,5.35,2.84,3.4,2.26,4.8,1.87,1.43,2.5,2.28,5.1,,
February,,,2.23,3.74,0.28,3.23,2,3.32,2.14,1.04,0.69,1.61,0.1,3.87,0.12,2.49,2.27,4.82,0.51,1.2,2.29,2.65,1,1.52,1.53,2.08,2.14,1.92,1.4,,
March,,,1.78,2.82,0.65,0.78,0.54,3.26,2.53,0.15,1.15,0.07,1.1,3.27,2.25,0.57,2.74,4.12,0.28,1.43,2.97,3.11,2.42,0.96,0.26,0.89,1.05,3.72,0.22,,
April,,,2.48,2.38,3,2.14,2.75,1.62,1.05,1.13,1.93,3.39,3.19,1.9,1.12,3.22,2,2.37,0.05,3.15,1.74,1.6,1.41,0.94,1.25,1.16,1.91,2.43,1.07,,
May,,,1.06,1.32,3.37,3.28,1.85,1.14,1.69,1.42,2.26,2.68,4.67,2.33,0.58,1.8,0.78,3.9,1.9,2.23,1.14,3.03,4.15,2.18,0.34,1.16,3.36,1.81,3.25,,
June,,,3.4,0.57,2.62,0.05,2.73,4.34,2.45,1.2,0.5,1.06,1.44,1.96,1.4,4.44,3.52,1.67,0.62,1.27,0.84,2.8,0.54,1.43,1.93,2.18,2.58,1.21,2.71,,
July,,,4.9,1.05,4.1,3.09,2.31,4.97,2.2,1.36,2.4,4.33,2.58,1.26,1.34,0.77,4.09,1.16,1.61,3.69,3.29,5.4,2.04,1.49,2.81,2.31,1.61,1.64,0.55,,
August,,,3.73,1.92,2.39,3.29,1.19,3,2.63,0.92,2.36,5.32,1.29,0.55,2.67,2.73,0.68,0.63,2.86,2.72,0.03,4.34,1.95,1.63,1.59,2.25,3.9,0.26,4.28,,
September,,,1.44,2.13,3.42,2.69,0.89,4.13,1.43,0.67,3.07,1.72,2.83,3.13,1.65,4.27,2.47,3.19,1.23,0.9,1.34,0.32,1.11,1.33,2.43,2.27,4.9,0.91,2.49,,
October,,,0.62,4.61,3.61,3.06,2.45,2.06,4.28,3.09,1.38,0.56,4.39,1.81,1.39,3.93,1.88,3.53,3.71,5.05,2.73,1.03,3.69,3.78,3.95,3.95,1.24,0.72,2.86,,
November,,,1.52,1.29,2.66,1.83,5.19,3.34,2.55,6.45,4.46,2.46,1.46,1.11,1.86,4.35,3.39,1.39,3.48,5.01,6.9,2.67,1.66,1.65,4.59,0.08,4.34,1.37,1.87,,
December,,,2.77,2.68,3.62,2.63,0.62,2.24,2.07,6.01,3.23,0.56,0.72,0.45,6.8,2.51,2.65,3.13,3.82,1.68,1.29,1.67,3.23,1.48,1.48,2.5,2.45,2.62,4.21,,
Total,,,,25.69,33.36,27.92,25.37,35.51,29.21,24.83,26.63,25.08,25.49,23.92,22.96,31.86,31.33,34.97,22.88,33.68,27.4,32.02,25.46,23.19,24.03,22.26,31.98,20.89,30.01,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is 100 Westwood Road, and address scribbled on the 1920s record. The observer, Mrs Latham, is noted as living at The Limes Westwood Road. The first 1920 record has the observer as T Latham and mentions The Limes. The other 1930s record has Mrs M W Latham as the observer and there is some duplication of reading for part of 1922. The altitude on the record is completely wrong; figure used is from OS map. The 1930s record has relationships to church and station that appear consistent with the NGR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
