"DARLINGTON, STANHOPE ROAD",,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ283146,Long,-1.5631274,Lat,54.526283,Elevation,180,ft,,,,,,,,,,,,,
Station no,3503,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,0.99,1.71,1.61,2.73,1.24,3.44,1.81,3.31,1.97,1.74,1.73,1.61,2.59,3.33,,,,
February,,,,3.8,1.02,2.62,2.02,1.01,1.54,0.96,1.43,1.43,0.82,3.71,0.4,2.51,3.49,,,,
March,,,,1.77,1.52,2.02,0.97,2.35,2.66,0.16,2.76,1.2,1.55,1.77,1.82,0.65,2.12,,,,
April,,,,1.95,2.03,2.24,1.15,1.71,0.85,1.23,2.91,3.04,1.28,1.06,3.42,2.53,1.4,,,,
May,,,,2.35,4.92,3,2.78,1.61,1.6,1.72,1.32,3.08,3.82,2.22,1.36,0.71,2.01,,,,
June,,,,0.76,2.27,0.08,3.52,2.71,5.35,1.93,1.37,3.46,1.24,2.37,2.01,2.34,3.74,,,,
July,,,,2.34,3.6,2.08,2.93,4.07,0.83,2.49,5.1,4.75,4.94,1.89,1.4,1,3.42,,,,
August,,,,3.67,2.62,4.68,1.9,5.44,5.05,2.65,4.78,3.58,2.54,0.28,2.33,2.27,2.17,,,,
September,,,,1.8,2.13,2.89,2.15,4.33,0.59,1.23,3.21,3.2,2.36,1.28,1.65,5.32,4.45,,,,
October,,,,2.3,3.37,2.3,2.5,2.01,3.14,2.36,1.8,0.91,3.37,3.01,2.49,4.25,1.45,,,,
November,,,0.74,3.42,1.19,2.01,3.86,1.95,3.19,2.72,3.02,2.36,1.02,3.17,1.85,4.1,2.5,,,,
December,,,3.46,2.98,2.46,2.56,0.95,2.43,1.36,3.92,2.39,1.07,1.06,1.37,4.27,1.79,1.6,,,,
Total,,,,28.13,28.84,28.09,27.46,30.86,29.6,23.18,33.4,30.05,25.74,23.86,24.61,30.06,31.68,,,,
