NIDDERDALE RAIN STANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE079758,Long,-1.880464,Lat,54.177925,Elevation,1470,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.88,1.9,,2.9,2.8,1.65,8.3,5,2.57,2.5,3.88,9.5,3.5,,3,6.35,7.35,1.47,6.43,,4,2.3,5.65,2.4,3.84,5.5,5.5,8.5,8.25,3.77,4.09,6.23,9.23,9.97,5.2,5.25,4.9,6.9,6.5,4.9,11.78,1.4,8.27,4.2,6.9,3.47,4.68,2.47,5.72,6.1,7.93,6.75,2.84,4,3.24,8.83,7.34,6.93,5.93,4.34,11.3,3.57,4.75,4.4,4.2,1.65,3.85,3.8,5.5,7.95,6.47,5.47,7.78
February,,,,,,,,,0.98,2.2,,0.55,1.6,7.95,10.3,1.5,1.26,3.5,3.8,5.5,4.52,4.07,1.7,5.4,3.05,2.4,3.45,5.44,3.2,2.5,5.45,7.4,3.05,6.4,5.93,8.2,4.5,1.3,5.38,3,4.94,0.5,4.7,6.5,0.62,7.4,5.12,3.39,5.73,0.53,1.1,4.94,0.61,5.1,0.3,6.9,1.89,6.88,2.72,5,4.87,4.87,2.23,3.53,2.58,6.65,4.21,6.25,3.6,3.72,7.8,5.3,1.31,4.46,3.04,2.82,2.92,6.02,7.47,0.55,6.13
March,,,,,,,,,4.8,2.6,,1.9,0.51,1.25,4.12,3.8,5.64,6.93,2.06,2.28,1.56,2.8,1.4,7.15,4.15,3.86,3.42,3.44,4.26,3.2,1.4,1.77,6.52,8.75,,3.25,3.2,2.15,2.73,5.21,5.15,5.26,3.65,1.47,1.65,1.2,2.1,4.16,3.95,0.58,2.97,0.85,3.27,2.65,2.98,1.63,3.68,3.51,1.8,2.75,3.2,4.54,3.83,2.48,0.42,1.03,1.58,8,3.9,1.3,2.8,5.21,4.31,1.17,3.95,2.35,1.66,3.87,2.77,3.34,2.51
April,,,,,,,,,5.15,3.2,,2.1,2,0.48,3.73,3.8,1.95,2.58,4.85,4.15,3.06,4,1.65,1.46,4.15,4.6,0.95,3.7,3.2,3.6,3.3,2.45,0.85,6.2,2.15,2.37,3.12,2.35,2.07,2.5,7.59,1.17,3.25,3.65,2.8,5.65,2.17,3.65,0.92,1.85,3.68,3.46,4.73,2.47,4.08,4.1,1.06,3.76,0.46,2.33,2.85,2.15,2.62,2.89,2.48,3.05,1.92,8.5,3.18,6,3.9,4.1,2.61,4.72,1.36,1.91,1.93,0.48,1.33,5.21,3.5
May,,,,,,,,,1.85,2.6,,3.2,4.75,2.5,3,0.4,0.71,1.53,2.7,4.8,2.05,2.05,3.08,4.7,4.27,0.95,5.92,5.6,3.6,2.5,2.4,2,3.5,3.23,3.22,1.45,2.57,2.45,3.47,1.95,5.3,2.75,0.98,4.15,7.5,5.35,3.62,2.96,2.69,2.98,1.63,3.23,5.06,3.18,4.2,0.31,0.93,3.31,3.61,0.9,2.13,2.47,4.34,4.25,2.83,4.11,3.69,2.8,2.65,2.2,2.35,7.46,2.08,2.86,5.24,5.08,1.62,1.93,6.45,1.48,1.87
June,,,,,,,,,3.9,0.1,,1.3,4.7,3.07,3.15,2.7,3,3.11,3.6,1.55,4.15,1.95,1.6,2.4,2.7,1.42,2.33,5,1.7,3.1,1.6,3.6,7.55,3.5,3.9,0.5,2.85,3.76,1.13,1.07,1.8,0.87,2.35,1.18,1.72,0.19,3.75,4.16,6.75,1.86,1.97,7.06,2.47,1.21,2.43,4.09,6.5,2.23,6.11,3.95,0.62,0.83,0.83,3.24,2.78,4.39,3,3.77,5.3,0.91,1.65,1.59,2.84,3.65,4.11,4.11,4.12,1.35,4.16,1.95,2.3
July,,,,,,,,,5.6,4.7,,6.2,2.5,4.39,4.47,6.64,2.66,1.83,0.85,3,2.71,3.9,3.95,3.54,2.65,0.95,2.3,2.72,4.45,4.1,3.12,0.46,5,1.1,2.82,6.3,2.6,2.41,6.2,1.73,8.3,4.9,6.25,3.15,7.16,1.95,4.23,6.25,1.6,2.6,6.79,4.39,4.78,4.1,1.29,1.73,6.1,2.76,4.93,5.15,5.63,1.32,4.34,2.84,3.11,3.09,4.65,2,1.13,3.49,4.3,2.68,1.8,5.8,3.84,1.34,6.27,4.67,5.5,3.16,6.91
August,,,,,,,,,3.45,6.2,,8.65,6.1,4.5,2.93,4,2.55,5.72,5.6,1.89,7.61,3.15,2,5.82,3.97,4.63,4.45,2.7,3.25,4.27,7.3,3.45,8.75,2,2.5,4.05,3.5,7.3,3.63,4.02,3.2,6.4,4.95,7.55,4.45,4.75,5.09,11.2,6.4,4.7,6.72,4.17,2.03,0.98,3.97,1.23,2.91,2.91,4.97,3.47,1.13,4.56,4.63,5.33,2.63,6.11,7.03,0.36,5.2,3,9.1,5.85,5.57,5.52,9.04,1.99,9.7,8.07,3.6,0.7,3.82
September,,,,,,,,,2.1,1.28,,2.9,3.46,3.05,0.62,2.25,8.77,4.82,1.87,6.8,1.5,2.1,2.5,5.93,1.98,3.83,0.7,0.73,6.15,2.95,1.2,3,3.05,2.2,3,0.52,2.39,3.5,12.93,3.67,1.88,2.95,5.2,6.35,6.55,2.9,4,9.65,0.76,1.68,5.85,4.1,5,2.47,3.98,7.73,3.61,2.32,2.21,3.15,3.35,0.43,3.32,4.33,7.56,3.36,8.65,2.9,3.1,1.4,5.7,3.25,5.72,5.23,6.61,3.11,3.23,5.16,5.65,0.27,4.32
October,,,,,,,,,1.7,7.8,,6.35,11.33,3.7,8.67,4.25,4.85,2.33,8.6,4.1,8,2.5,4.85,8.8,1.95,2.65,10.83,7.14,3.35,6.6,5.15,5.8,4.8,3.33,2.9,1.19,9.1,7.75,3.65,4.5,2.41,4.83,1.83,8.15,6.25,6.5,4.05,8.05,7.6,6.03,6.83,1.96,6.8,4.5,7.41,8.65,5.4,2.47,14.93,4.15,4.52,6.71,6.71,3.92,7.42,8.2,2.24,1.62,2.64,7.9,2.3,2.38,6.43,3.09,11.81,3.26,4.04,6.54,5.62,6.56,8.61
November,,,,,,,,,11.5,1.02,,5.5,2.98,2.3,4.45,7.12,1.3,3.73,4.63,4.1,6.25,5.12,4.25,2.9,3.7,6.25,6,3.95,4.47,2.85,4.65,7,4.15,6.5,8.8,1.3,5.33,5.2,3.77,4.55,4.68,2.68,2.7,9.05,4.93,2.5,8.67,5.5,9.61,7.97,7.79,7.41,4.06,3.68,1.94,8.41,5.54,1.78,8.36,5.95,8.64,4.82,2.24,2.56,9.88,1.18,10.64,8.1,2.8,7.4,4.7,13.14,2.7,6.12,10.47,4.43,1.13,3.52,1.34,8.13,10.72
December,,,,,,,,3.45,3.95,2.25,,9.9,1.28,4.5,4.78,3.55,6.6,7.68,4.7,3.53,5.2,5.8,2.95,3.4,5.6,2.6,,,2.2,4.54,4.8,6.5,8,3.75,10,8,4.54,2.05,8.35,7.45,5.5,12.03,5.8,3.47,8.05,5.73,1.61,2.12,3.22,11.26,4.63,3.35,2.67,0.86,7.31,2.49,4.94,3.26,5.4,4.33,3.52,3.52,5.21,2.73,5.93,3.62,4.92,4.1,4.5,10.75,1.15,9.8,3.6,3.63,6.74,8.19,6.04,5.91,6,11,5.95
Total,,,,,,,,,46.86,35.85,43.23,51.45,44.01,39.34,58.52,45.01,41.86,46.26,47.14,51.2,50.11,37.44,32.93,57.85,45.52,35.61,,,43.83,42.51,46.02,45.83,59.06,52.46,,45.63,51.95,43.99,57.4,45.88,59.98,54.31,46.86,59.92,56.58,51.02,50.91,65.99,61.01,43.44,58.23,49.12,48.38,34.67,44.57,49.74,48.28,41.29,63.43,47.88,43.3,40.22,43.54,46.93,54.96,51.72,58.46,52.74,49.3,51.64,50.5,65.16,43.17,47.9,70.06,42.39,48.16,55.47,56.36,47.82,64.42
