ACLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG399105,Long,1.5452,Lat,52.6398,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.61,2.49,4.4,1.35,1.55,0.93,0.58,3.06,2,0.84,1.5,1.82,3.2,1.79,0.68,,1.45,1.73,1.9,1.24,1.77,3.03,1.3,1.48,0.83,2.43,2.27,1.37,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.24,3.24,1.07,1.3,2.43,0.75,1.47,1.53,1.79,0.82,1.26,2.25,2.12,0.91,2.72,,2.67,0.92,2.22,0.52,1.91,0.31,0.54,2.53,1.34,0.47,0.08,1.57,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.61,1.1,1.2,2.07,3.52,1.34,1.05,3.48,1.43,0.92,0.53,2.25,2.29,1.43,1.1,,1.85,1.55,1.32,1.25,0.6,1.17,1.69,3.31,0.99,2.77,1.38,1.44,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.46,1.62,2.11,1.5,0.46,0.51,3.14,2.78,0.74,1.22,0.67,2.46,1.88,1.04,2.06,,0.71,3.03,1.57,0.97,1.44,1.04,1.09,1.46,2.01,0.79,1.07,1.98,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,0.89,1.76,3.1,0.87,2.07,0.73,1,2.01,2.04,1,2.47,0.45,1.79,3.06,2.37,,0.58,1.46,1.49,0.96,3.08,2.13,2.31,0.76,3.48,1.52,3.15,1.54,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.96,3.19,1.52,0.76,1.67,1.23,2.57,2.75,1.56,2.41,2.24,1.47,2.02,1.27,2.98,,1.85,2.43,2.51,0.78,0.96,0.73,0.57,1.21,2.02,3.08,0.35,3.8,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,5.06,2.13,2.54,0.34,0.9,1.83,2.43,2.56,1.71,3.29,5.99,2.01,2.81,1,5.48,,1.27,2.66,2.79,2.36,0.86,2.39,1.42,4.34,2.91,2.02,5.84,2.2,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,3.67,1.09,1.24,1.75,2.09,2.43,0.9,2.54,1.96,1.42,0.85,2.93,3.46,3.12,5.06,,3.34,1.41,0.94,1.45,0.74,1.89,2.67,2.1,2.6,1.82,4.39,2.63,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0,2.74,1.49,1.6,2.45,1.75,4.55,2,2.28,3.41,2.11,5.34,1.93,3.31,3.3,,2.09,1.43,2.4,3.3,3.99,1.19,2.47,1.54,3.21,1.07,1.02,1.79,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,5.98,0.38,2.7,2.07,3.2,3.12,1.34,2.31,2.34,1.01,3.65,1.14,1.63,1.53,1.67,,3.69,5.39,3.09,3.49,7.35,2.24,3.15,1.67,3.95,2.05,2.85,6.72,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,2.23,3.12,0.61,2.22,2.58,1.01,2.52,4.82,0.84,2.9,6.03,2.31,2.66,7.35,1.74,,1.79,3.35,2.78,1.09,3.1,2.65,2.33,2.17,1.08,3.94,1.31,1.27,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,0.47,2.1,2.18,3.98,4.42,3.98,1.01,3.07,0.39,3.13,1.6,2.76,2.1,2.36,1.56,,2.9,3.43,2.55,1.68,1.69,3.15,1.37,1.01,1.12,1.04,2.39,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,27.18,24.96,24.16,19.81,27.34,19.61,22.56,32.91,19.08,22.37,28.9,27.19,27.89,28.17,30.72,24,24.19,28.79,25.56,19.09,27.49,21.92,20.91,23.58,25.54,23,26.1,27.31,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Elevation on Record sheets is incorrect - highest point in Acle is 33ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
