JOPPA NR PORTOBELLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT315733,Long,-3.0984149,Lat,55.947834,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,,,,,,,,,1.66,0.6,2.82,0.33,0.92,0.69,1.47,,,,1.08,
February,,,,,,,,,,,,,,,,,,,1.15,0.84,0.67,0.11,0.9,2.52,5.36,,,,0.99,
March,,,,,,,,,,,,,,,,,,,2.54,0.65,1.33,2.69,0.38,0.88,1.44,,,,1.06,
April,,,,,,,,,,,,,,,,,,,1.3,2.57,1.41,0.21,0.77,0.85,1.43,,,,1.9,
May,,,,,,,,,,,,,,,,,,,0.76,0.57,1.28,1.53,2.28,1.57,2.16,,,,1.87,
June,,,,,,,,,,,,,,,,,,,1.75,0.8,2.84,-999,3,1.54,1.5,,,,1.96,
July,,,,,,,,,,,,,,,,,,,5,4.56,1.39,-999,0.68,2.12,-999,,,,1.32,
August,,,,,,,,,,,,,,,,,,,1.79,4.45,3.4,4.85,3.61,3.27,-999,,,,3.2,
September,,,,,,,,,,,,,,,,,,,0.4,0.69,1.73,3.54,1.39,1.36,0.33,,,,2.03,
October,,,,,,,,,,,,,,,,,,,1.19,3.33,3.1,1.6,3.52,2.36,2.57,,,,3.68,
November,,,4.05,,,,,,,,,,,,,,,,4.24,0.68,3.72,1.48,1.34,1.62,1.42,,,,3.41,
December,,,1.65,,,,,,,,,,,,,,,,0.88,1.2,1.53,3.81,1.16,2.26,1.79,,,,1.81,
Total,,,,,,,,,,,,,,,,,,,22.66,20.94,25.22,25.19,19.95,21.04,23.57,,,,24.31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891 June July bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894 July August bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
