MURSLEY-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP815285,Long,-0.81559755,Lat,51.949034,Elevation,490,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,2.2,2.5,2.26,1.38,2.57,1.72,3.09,2.54,3.81,0.94,2.72,1.28,1.47,1.4,1.39,0.67,2.44,3.28,2.11,4.05,2.44,2.41,2.56,,,,,,,,
February,0.72,0.4,2.71,3.49,0.43,2.98,2.24,3.54,1.69,0.83,0.87,1.89,0.19,2.23,0.28,2.57,1.46,3.6,0.74,0.69,1.52,1.75,,,,,,,,,
March,2.48,1.11,1.67,1.98,0.63,0.77,0.34,2.38,1.81,0.13,1.57,0.08,2.16,2.63,1.85,0.45,1.24,3.09,0.31,1.78,2.73,2.63,1.31,,,,,,,,
April,3.43,1.1,3.47,2.45,2.83,1.72,2.82,1.69,1,1.24,1.91,3.7,2.2,0.87,2.2,3.76,1.28,2.72,0.15,3.14,1.72,1.67,,,,,,,,,
May,1.96,1.46,1.01,1.52,5.51,2.02,2.72,1.29,1.54,1.31,2.63,2.75,5.77,1.83,0.58,1.84,1.67,4.07,1.71,1.38,1.39,1.5,,,,,,,,,
June,2.52,0.39,1.16,0.49,2.29,0.02,2.94,3.5,2.75,0.81,1.16,3.18,0.51,1.85,1.15,2.11,3.89,1.46,0.86,2.29,0.67,1.5,,,,,,,,,
July,3.91,0.27,4.89,2.8,3.65,3.47,2.7,2.67,2.29,1,2.43,3.8,2.79,1.74,1.5,0.9,5.26,1.21,1.22,2.72,2.78,2.68,,,,,,,,,
August,1.18,1.44,3.72,3.41,2.5,2.47,1.44,3.37,2.35,0.44,2.94,2.85,3.85,0.96,1.7,2.91,0.32,1.07,5.65,2.55,0.04,3.01,,,,,,,,,
September,2.13,1.77,2.23,2.58,3.8,3.17,2.61,5.45,0.56,0.16,3.24,2.63,3.19,2.2,1.82,4.67,3.56,1.41,1.19,0.63,0.89,0.31,,,,,,,,,
October,1.21,1.22,1.08,4.13,3.98,3.18,2.61,1.55,3.24,3.76,1.28,0.69,3.9,1.62,1.14,2.01,1.38,2.79,3.28,5.89,2.69,1.5,,,,,,,,,
November,1.42,2.04,1.11,1.39,2.88,1.81,3.89,2.65,2.8,5.55,4.01,3.1,1.22,1.49,2.17,3.53,1.91,1.63,2.41,3.66,7.73,2.18,,,,,,,,,
December,1.96,1.66,2.35,2.71,4.24,1.98,0.3,2.32,2.54,4.57,2.46,1,0.68,0.25,6.47,1.96,1.4,2.15,2.65,2.03,1.28,0.87,,,,,,,,,
Total,25.12,15.36,27.66,28.33,35.31,25.31,27.7,32.95,26.38,20.74,27.22,26.95,27.93,19.07,22.25,27.38,25.81,28.48,22.28,30.81,25.88,22.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
