"PORT GLASGOW, BROADFIELD",,,,,,,,,,
Grid ref,NS 33992 73712,Long,-4.658647,Lat,55.927735,Elevation,250,ft,,
Station no,RR8925,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,5.45,6.56,7.55,5.57,4.46,8.75,2.27,6.35,
February,,8.38,5.5,4.49,7.56,8.32,7.03,1.32,9.69,
March,,2.08,6.95,8.44,7.27,2.94,1.72,2.99,1.96,
April,,4.06,2.76,5.65,4.42,4.64,4.46,1.48,0.93,
May,,3.77,2.22,4.78,1.83,1.53,4.15,4.59,2.61,
June,,4.28,5.87,4.49,0.94,2.16,1.91,3.72,1.61,
July,,3.67,3.53,1.58,3.2,3.66,2.68,2.55,3.62,
August,,3.54,3.78,1.52,5.07,2.57,4.35,5.68,3.78,
September,,3.86,3.66,3.1,2.71,1.61,1.28,3,6.08,
October,,4.17,6.98,4.15,2.64,4.31,9.36,9.47,8.7,
November,,7.76,6.12,7.84,6.96,3.09,6.81,9.09,7.08,
December,,13.01,12.98,5.05,11.95,6.43,6.44,3.62,7.28,
Total,,64.03,66.91,58.64,60.12,45.72,58.94,49.78,59.69,
,,,,,,,,,,
Station no,RR8925,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
