HOLFORD-DYCHE-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST168414,Long,-3.19131,Lat,51.16577,Elevation,260,ft,,,,,,,,,,,,,
Station no,RR8524,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,0.97,4.8,6.48,0.81,3.06,1.2,0.82,,,,2.21,2.89,,,,,,,,
February,,1.99,2.83,1.02,2.68,5,6.16,0.88,,,,0.15,2.14,7.26,,,,,,,
March,,2.26,5.04,4.27,6.05,0.71,3.66,2.78,,,,1.37,2.25,,,,,,,,
April,,1.66,0.21,3.19,1.59,0.87,0.84,1.48,,,,0.9,2.7,,,,,,,,
May,,1.32,1.91,3.71,1.39,2.59,3.65,3.04,,,,1.91,0.55,,,,,,,,
June,,2.25,5.69,1.13,2.77,1.24,1.97,5.3,,,,0.55,0.79,,,,,,,,
July,,0.24,2.57,0.79,4.87,3.77,0.75,2.44,,,,0.41,2.9,,,,,,,,
August,,1.18,7.13,2.02,3.23,2.52,6.26,6.71,,,,1.27,3.53,,7.16,,,,,,
September,,1.6,0.82,3.77,2.6,1.53,2.24,1.65,,,,1.6,1.33,,,,,,,,
October,,3.46,4.81,5,3.55,4.4,5.8,4.92,,,,0.78,1.42,,,,,,,,
November,,3,2.78,3.88,3.86,2.14,4.05,1.21,,,,2.06,1.54,,,,,,,,
December,,8.59,4.46,3.1,7.35,6.49,3.47,0.64,,,,1.69,4.82,,,,,,,,
Total,,28.52,43.05,38.36,40.75,34.32,40.05,31.87,,,,14.9,26.86,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1924 Sept 17 Inspection Excellent position in kitchen garden,,,,,,,,,,,,,,,,,,,,,
