SHOREHAM-HIGHFIELD (GARDENS),,,,,,,,,,
Grid ref,TQ539605,Long,0.20852,Lat,51.32295,Elevation,670,ft,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,0.85,3.92,1.89,,,
February,,,,,4.31,,5.58,,,
March,,,,,5.68,,5.02,,,
April,,,,,1.18,,2.35,,,
May,,,,,1.94,,2.7,,,
June,,,,,1.14,0.8,2.81,,,
July,,,,,1.29,4.44,1.08,,,
August,,,,,1.93,,3.27,,,
September,,,,,1.05,,1.28,,,
October,,,,,2.23,2.37,4.16,,,
November,,,,,4.26,3.27,5.34,,,
December,,,,,9.05,6.58,3.03,,,
Total,,,,,34.91,,38.51,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"1915 Feb-May, Aug-Sep values removed as are duplicates of other gauge.",,,,,,,,,,
