PARHAM-THE-HIGH-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM295608,Long,1.356784,Lat,52.19763,Elevation,93,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.19,2.87,1.48,1.76,0.89,2.08,1.94,0.92,2.48,1.89,2.37,1.55,1.52,0.85,1.92,2.88,0.38,0.79,1.89,1.99,1.03,3.92,1.55,0.65,0.3,1.6,1.28,2.18,3.19,1.55,2.83,1.43,1.57,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.24,0.19,0.51,1.62,1.27,0.98,0.28,1.73,2.2,1.4,0,0.21,2.27,0.84,1.52,2.67,0.73,0.6,0.32,2.31,0.86,1.97,1.34,1.6,0.8,2.47,1.23,1.3,0.61,1.65,3.63,3.69,0.6,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.98,1.48,1.05,3.19,0.46,2.19,1.21,1.47,0.38,1.02,1.56,3.34,2.79,1.93,1.1,0.76,1.78,1.05,1.82,1.75,1.82,1.57,1,2.01,2.72,0.95,1.98,3.07,1.7,3.94,1.14,3.68,2.34,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.69,1.24,1.45,1.96,1.92,0.85,1.17,1.18,0,2.46,0.93,1.12,1.27,0.99,2.24,1.42,1.68,0.92,1.75,0.79,2.08,0.6,2.98,2.77,1.34,1.49,1.32,0.28,1.73,0.61,0.93,1.34,1.72,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.94,1.85,1.75,1.01,2.38,1.66,2.21,1.44,1.56,2.04,0.43,0.37,0.64,2.14,2.2,0.82,1.28,2.15,1.68,2.11,1.6,1.07,2.54,1.25,1.28,3.57,0.71,0.92,1.47,1.28,2.3,1.49,0.84,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1,0.44,0.16,1.92,2.87,2.65,0.62,3.48,0.86,2.54,0.23,2.39,2.4,2.42,0.59,5.01,1.22,2.3,4.05,0.5,3.94,2.37,2.19,0.69,3.45,1.62,2.04,2.37,0.86,1.11,0.5,2.55,2.11,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.37,2.98,2.15,5.23,3.36,3.24,2.96,1.86,2.85,3.59,3.92,0.46,0.88,1.47,3.75,1.19,0.88,3.05,4.17,1.56,0.36,0.04,1.92,4.45,2.88,2.94,0.72,2.44,1.84,1.42,5.13,1.37,2.88,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.34,1.61,1.36,2.03,2.84,2.08,3.01,4.34,0.95,2.19,2.65,1.21,1.43,1.47,0.42,2.3,0.92,3.6,3.7,0.98,2.23,0.67,1.5,1.62,2.25,2.94,0.4,7.94,1.92,0.85,1.94,5.49,4.07,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,4.55,5.1,1.04,1.84,2.63,1.51,1.17,0.88,2.93,0.91,1.66,0.79,3.86,3.26,0.39,3.12,0.86,0.77,1.16,2.42,1.59,3.68,2.25,0.76,1.47,2.04,1.42,1.75,3.28,1.33,0.89,1.46,0.9,1.58,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.82,4.84,2.84,2.69,0.91,6.12,1.46,4.32,7.16,2.28,1.88,3.13,2.27,0.67,1.94,1.46,1.52,2.04,1.81,3.99,0.93,1.93,3.42,3.46,1.4,4.42,1.22,2.29,1.72,2.23,1.82,1.51,2.47,3.52,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
