ELGIN HIGHFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 213 626,Long,-3.320433,Lat,57.646921,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,1.5,2.53,0.68,2.08,1.35,1.44,1.41,1.11,2.05,1.24,2.7,1.45,2.2,1.25,1.66,0.66,2.8,1.41,2.77,2.02,1.59,3.65,1.26,1.67,2.82,
February,,,,,0.59,0.8,2.87,2.53,0.41,0.6,1.26,2.22,1.04,1.62,0.53,2.21,0.87,0.84,1.94,3,0.68,1.95,2.32,2.38,3.63,1.1,0.54,0.91,3.06,
March,,,,,2.19,1.47,4.13,1.75,1.73,1.88,0.84,2,2.68,2.91,1.62,1.35,0.81,1.77,3.31,1.64,2.17,2.46,1.59,0.9,0.84,2.82,1.97,1.87,2.47,
April,,,,,0.71,1.18,2.05,1.65,0.53,1.29,1.51,0.63,2.42,1.09,0.57,1.36,1.38,2.4,1.45,2.71,1.11,0.42,1.3,1.09,0.59,1.39,1.63,0.9,1.46,
May,,,,,1.49,1.63,1.18,3.53,3.29,3.97,0.54,1.85,1.76,1.43,1.1,2.1,3.58,1.95,1.62,0.35,0.8,3.12,2.46,1.36,4.16,1.66,1.12,1.69,1.95,
June,,,,,1.21,1.48,1.82,3.45,1.17,2.43,1.35,2.19,3.12,1.06,1.29,1.66,1.32,0.48,2.14,0.47,2.41,0.86,2.07,1.92,1.41,3.62,3.79,3.33,2.44,
July,,,,,2.71,5.64,1.88,4.1,1.64,3.8,4.05,4.01,2.45,3.99,1.9,0.84,2.53,2.28,3.66,1.87,3.37,6.67,3.09,3.53,6.23,3.91,3.18,1.14,1.56,
August,,,,,5.34,2.68,1.79,4.47,5.32,4.19,0.23,2.77,2.05,3.4,2.09,3.02,2.04,2.39,1.5,4.45,4.15,3.81,2.66,3.77,3.87,2.47,2.71,2.33,2.44,
September,,,,,1.78,4.31,4.01,1.41,3.17,1.15,1.01,2.12,5.09,2.97,0.45,2.47,1.79,4.43,1.54,1.36,1.98,2.57,2.51,5.09,0.92,1.83,3.72,2.38,3.69,
October,,,,,2.26,1.38,2.6,2.53,2.17,1.2,5.85,3.5,1.73,1.33,2.03,2.71,2.03,2.55,3.11,3.12,3.65,0.74,6.26,3.36,2.67,5.63,3.88,0.91,2.69,
November,,,,,2.49,2.99,1.93,2.46,5.19,1.92,3.32,1.59,3.38,1.36,3.61,1.29,2.94,2.82,2.82,1.97,3.64,1.68,1.55,4.34,0.36,0.98,1.26,2.35,1.61,
December,,,,,2.36,1.86,3.79,2,3.66,0.81,2.79,1.08,4.71,2.17,1.17,1.67,4.14,2.2,0.92,1.54,0.9,1.89,1.58,1.93,1.99,3.04,3.09,2.3,3.44,
Total,,,,,24.63,27.95,28.73,31.96,29.63,24.68,24.16,25.07,32.48,24.57,19.06,22.13,25.63,25.36,25.67,23.14,27.66,27.58,30.16,31.69,28.26,32.1,28.15,21.78,29.63,
