ROSS BROAD STREET,,,,,,,,,,,,
Grid ref,SO600243,Long,-2.582963,Lat,51.915782,,,,,,,
Station no,RR7781,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,3.32,3.08,1.29,4.35,2.26,0.68,1.28,,
February,,,,2.41,4.05,0.88,1.39,0.94,0.87,0.41,,
March,,,,3.53,1.73,3.71,1.24,0.79,3.32,2.76,,
April,,,,2.29,1.29,2.66,0.99,3.09,2.75,2.16,,
May,,,,4.58,2.31,0.37,1.85,2.34,1.47,1.01,,
June,,,,2.79,0.96,3.78,2.84,2.17,1.16,2.38,,
July,,,,2.52,1.79,0.78,0.59,2.26,1.60,1.68,,
August,,,,3.46,1.69,3.34,0.98,2.67,3.01,2.03,,
September,,,,2.13,2.11,1.41,0.71,0.62,1.77,2.78,,
October,,,,7.72,0.53,1.71,4.46,8.42,2.07,4.32,,
November,,,,1.21,1.34,3.71,2.45,2.35,1.30,1.10,,
December,,,,2.37,2.35,0.70,1.48,3.83,2.39,5.07,,
Total,,,,38.33,23.23,24.34,23.33,31.74,22.39,26.98,,
Calc annual,0.00,0.00,0.00,38.33,23.23,24.34,23.33,31.74,22.39,26.98,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
